b,theta,rho_mean,rho_std
1.0,0.0,0.9974954000000001,0.008195111430208618
1.0,0.1,0.9974954000000001,0.008195111430208618
1.0,0.2,0.9974954000000001,0.008195111430208618
1.0,0.3,0.9974954000000001,0.008195111430208618
1.0,0.4,0.9974954000000001,0.008195111430208618
1.0,0.5,0.9974954000000001,0.008195111430208618
1.0,0.6,0.9974954000000001,0.008195111430208618
1.0,0.7,0.9974954000000001,0.008195111430208618
1.0,0.8,0.9974954000000001,0.008195111430208618
1.0,0.9,0.9974954000000001,0.008195111430208618
1.0,1.0,0.9974954000000001,0.008195111430208618
1.1,0.0,0.9964076,0.010146155177646823
1.1,0.1,0.9962045,0.010274770451366952
1.1,0.2,0.9959119,0.010577751254688359
1.1,0.3,0.9963956,0.010454277875539299
1.1,0.4,0.99547,0.011537746134258033
1.1,0.5,0.9954630999999999,0.011557136733847577
1.1,0.6,0.9954630999999999,0.011557136733847577
1.1,0.7,0.9954630999999999,0.011557136733847577
1.1,0.8,0.9954630999999999,0.011557136733847577
1.1,0.9,0.9954630999999999,0.011557136733847577
1.1,1.0,0.9954630999999999,0.011557136733847577
1.2,0.0,0.9931647000000001,0.013718255731438025
1.2,0.1,0.9932353,0.013591242386406825
1.2,0.2,0.9931098,0.01363547815832145
1.2,0.3,0.9931853999999999,0.013492835017448392
1.2,0.4,0.9919874000000002,0.015421036571167767
1.2,0.5,0.9919834000000001,0.015420670649252843
1.2,0.6,0.9919834000000001,0.015420670649252843
1.2,0.7,0.9919834000000001,0.015420670649252843
1.2,0.8,0.9919834000000001,0.015420670649252843
1.2,0.9,0.9919834000000001,0.015420670649252843
1.2,1.0,0.9919834000000001,0.015420670649252843
1.3,0.0,0.9912382,0.015140219990929408
1.3,0.1,0.9912382,0.015140219990929408
1.3,0.2,0.9910023000000001,0.015176795475962403
1.3,0.3,0.9909746999999999,0.015645050752247654
1.3,0.4,0.9898976999999998,0.01775069518371188
1.3,0.5,0.9898949999999997,0.017753684579872926
1.3,0.6,0.9898949999999997,0.017753684579872926
1.3,0.7,0.9898949999999997,0.017753684579872926
1.3,0.8,0.9898949999999997,0.017753684579872926
1.3,0.9,0.9898949999999997,0.017753684579872926
1.3,1.0,0.9898949999999997,0.017753684579872926
1.4,0.0,0.9890730000000001,0.016334459113954633
1.4,0.1,0.9890730000000001,0.016334459113954633
1.4,0.2,0.9890694999999999,0.01634010511291195
1.4,0.3,0.9867344999999998,0.01859535161721008
1.4,0.4,0.9816138,0.025027026392694114
1.4,0.5,0.9821096000000001,0.024872840078602996
1.4,0.6,0.9823192000000002,0.024976296831074486
1.4,0.7,0.9819036000000001,0.02514801060549608
1.4,0.8,0.9819036000000001,0.02514801060549608
1.4,0.9,0.9819036000000001,0.02514801060549608
1.4,1.0,0.9819036000000001,0.02514801060549608
1.5,0.0,0.9862452999999999,0.01740985500870824
1.5,0.1,0.9865670999999999,0.01736318718677044
1.5,0.2,0.9869840999999999,0.017294638808169754
1.5,0.3,0.9779647999999999,0.028551228439668595
1.5,0.4,0.9728931000000002,0.027485564795199487
1.5,0.5,0.9728688000000001,0.02769240009078081
1.5,0.6,0.9725480000000002,0.027927980357854106
1.5,0.7,0.9724691000000001,0.02788852503225556
1.5,0.8,0.9724691000000001,0.02788852503225556
1.5,0.9,0.9724691000000001,0.02788852503225556
1.5,1.0,0.9724691000000001,0.02788852503225556
1.6,0.0,0.9845393,0.01769843874042244
1.6,0.1,0.9842638999999999,0.01785717126099331
1.6,0.2,0.9827888999999999,0.02520902968314443
1.6,0.3,0.9568833999999999,0.03643591538217988
1.6,0.4,0.9341409999999999,0.03698713900148469
1.6,0.5,0.9343444000000002,0.036493437498328965
1.6,0.6,0.9350442,0.03581032490861545
1.6,0.7,0.9343690999999998,0.03559999441309113
1.6,0.8,0.9343690999999998,0.03559999441309113
1.6,0.9,0.9342701,0.03546826077230344
1.6,1.0,0.9342701,0.03546826077230344
1.7,0.0,0.9802911999999998,0.02914131019981114
1.7,0.1,0.9801721999999998,0.02915937036287986
1.7,0.2,0.9814245999999999,0.023072566876327975
1.7,0.3,0.913621,0.06539779174136132
1.7,0.4,0.8819326000000001,0.04163611919301015
1.7,0.5,0.8813225,0.0447081678383788
1.7,0.6,0.8818215,0.04377797643746908
1.7,0.7,0.8819839,0.04308679972913969
1.7,0.8,0.8819839,0.04308679972913969
1.7,0.9,0.8819839,0.04308679972913969
1.7,1.0,0.8819839,0.04308679972913969
1.8,0.0,0.9720308,0.045636081124080304
1.8,0.1,0.9764191,0.03187590075083008
1.8,0.2,0.9751685999999998,0.0330162944472923
1.8,0.3,0.8613233,0.0849847980589541
1.8,0.4,0.8131325999999999,0.046088043161590694
1.8,0.5,0.8142706999999999,0.04427204403846105
1.8,0.6,0.8095738,0.04802353894169866
1.8,0.7,0.8094245000000001,0.047973339278870875
1.8,0.8,0.8100459000000001,0.04798805375530686
1.8,0.9,0.8100459000000001,0.04798805375530686
1.8,1.0,0.8100459000000001,0.04798805375530686
1.9,0.0,0.9648195999999998,0.0531160288333974
1.9,0.1,0.9699582999999998,0.04087592351670401
1.9,0.2,0.9668608000000001,0.04683110877235865
1.9,0.3,0.8006825,0.09854527527763801
1.9,0.4,0.7475594999999998,0.05608699176459743
1.9,0.5,0.7466611999999999,0.0561726840815827
1.9,0.6,0.7507765999999999,0.047102164423450214
1.9,0.7,0.7505673,0.046741328517985715
1.9,0.8,0.7505732999999999,0.04668709433975187
1.9,0.9,0.7504139,0.04657243440333055
1.9,1.0,0.7504139,0.04657243440333055
2.0,0.0,0.9586355999999999,0.05865263598268343
2.0,0.1,0.9633993000000001,0.04687048480621571
2.0,0.2,0.9639934999999998,0.0529056155842982
2.0,0.3,0.6738930999999999,0.13638874791924657
2.0,0.4,0.6125309,0.049200756627486665
2.0,0.5,0.6164639,0.04910058081277162
2.0,0.6,0.6160901,0.05008600765299789
2.0,0.7,0.61658,0.04757622054783422
2.0,0.8,0.6163721,0.04750700793163218
2.0,0.9,0.6163721,0.04750700793163218
2.0,1.0,0.6163721,0.04750700793163218
