b,theta,rho_mean,rho_std
1.0,0.0,0.9754920326864146,0.008539798401027773
1.0,0.1,0.9754920326864146,0.008539798401027773
1.0,0.2,0.9754920326864146,0.008539798401027773
1.0,0.3,0.9754920326864146,0.008539798401027773
1.0,0.4,0.9754920326864146,0.008539798401027773
1.0,0.5,0.9754920326864146,0.008539798401027773
1.0,0.6,0.9754920326864146,0.008539798401027773
1.0,0.7,0.9754920326864146,0.008539798401027773
1.0,0.8,0.9754920326864146,0.008539798401027773
1.0,0.9,0.9754920326864146,0.008539798401027773
1.0,1.0,0.9754920326864146,0.008539798401027773
1.1,0.0,0.9633413687436159,0.010552877401625048
1.1,0.1,0.964088457609806,0.01012726393433487
1.1,0.2,0.9627644535240042,0.01139800493148356
1.1,0.3,0.9448451481103164,0.0241173200329475
1.1,0.4,0.9271855975485189,0.019798428917789778
1.1,0.5,0.9265483146067415,0.020243231996009813
1.1,0.6,0.9259569969356485,0.019845069940401687
1.1,0.7,0.9258953013278856,0.01982840722378953
1.1,0.8,0.9258953013278856,0.01982840722378953
1.1,0.9,0.926226353421859,0.019897561116162855
1.1,1.0,0.926226353421859,0.019897561116162855
1.2,0.0,0.9380152196118489,0.020297255760354835
1.2,0.1,0.9389396322778346,0.018462618266230215
1.2,0.2,0.9358103166496428,0.015569764517721721
1.2,0.3,0.7882591419816138,0.07869227526738422
1.2,0.4,0.7453343207354444,0.038320718946790476
1.2,0.5,0.7437730337078652,0.038805850234926706
1.2,0.6,0.7425792645556691,0.03788063819948455
1.2,0.7,0.7424410623084782,0.03781271687170226
1.2,0.8,0.7427905005107253,0.037739266632354385
1.2,0.9,0.7427905005107253,0.037739266632354385
1.2,1.0,0.7427905005107253,0.037739266632354385
1.3,0.0,0.8904174668028599,0.02961945101458067
1.3,0.1,0.8872370786516853,0.03109083969325499
1.3,0.2,0.8836797752808987,0.0316244973530356
1.3,0.3,0.5260644535240041,0.05660541136096853
1.3,0.4,0.49280000000000007,0.042867207020436074
1.3,0.5,0.4945726251276813,0.040845223392001084
1.3,0.6,0.4934012257405517,0.038040652168421445
1.3,0.7,0.492835342185904,0.03597720292121947
1.3,0.8,0.49353350357507664,0.03634433767844753
1.3,0.9,0.4936516853932585,0.03639096897600859
1.3,1.0,0.4936516853932585,0.03639096897600859
1.4,0.0,0.7862751787538307,0.04709491040163399
1.4,0.1,0.7844044943820223,0.05068849717393202
1.4,0.2,0.7617836567926456,0.05685748617446295
1.4,0.3,0.32866802860061284,0.044892276478193674
1.4,0.4,0.305579366700715,0.03587782013955854
1.4,0.5,0.3047611848825332,0.038328468430204196
1.4,0.6,0.30287160367722166,0.03997264327366327
1.4,0.7,0.302508886618999,0.039641464446524326
1.4,0.8,0.30111869254341167,0.039884796313639025
1.4,0.9,0.3015158324821246,0.04035796485091675
1.4,1.0,0.3015158324821246,0.04035796485091675
1.5,0.0,0.6328813074565884,0.06512664192027517
1.5,0.1,0.6263662921348314,0.06529684678072414
1.5,0.2,0.592070786516854,0.07104069411023638
1.5,0.3,0.20692308478038815,0.03693753054714913
1.5,0.4,0.17801869254341163,0.03546766193956407
1.5,0.5,0.17694596527068437,0.035748115332853665
1.5,0.6,0.17913840653728294,0.0345802399982879
1.5,0.7,0.17661205311542394,0.03416589656920442
1.5,0.8,0.1769959141981614,0.03429281050262866
1.5,0.9,0.17724841675178754,0.034222445876531234
1.5,1.0,0.17724841675178754,0.034222445876531234
1.6,0.0,0.47316751787538314,0.06814212796462679
1.6,0.1,0.4593702757916241,0.07259152278410762
1.6,0.2,0.40270408580183864,0.07220028877894082
1.6,0.3,0.12265005107252298,0.030131145986272232
1.6,0.4,0.1040993871297242,0.025465351017402996
1.6,0.5,0.10382819203268642,0.027496551479797782
1.6,0.6,0.10368896833503577,0.027301049996033184
1.6,0.7,0.1040184882533197,0.027078700047097837
1.6,0.8,0.10371777323799795,0.026805505505944637
1.6,0.9,0.10371777323799795,0.026805505505944637
1.6,1.0,0.10371777323799795,0.026805505505944637
1.7,0.0,0.3228005107252298,0.05909422644992077
1.7,0.1,0.3254849846782431,0.0591847734265805
1.7,0.2,0.26122134831460675,0.06159781091456131
1.7,0.3,0.07516169560776302,0.023706622949166024
1.7,0.4,0.06211123595505619,0.020195913438949352
1.7,0.5,0.06100806945863126,0.01876228277829472
1.7,0.6,0.06265944841675179,0.020761598737741162
1.7,0.7,0.06280275791624107,0.021168243981147708
1.7,0.8,0.06253932584269664,0.021509538602736588
1.7,0.9,0.06253932584269664,0.021509538602736588
1.7,1.0,0.06253932584269664,0.021509538602736588
1.8,0.0,0.22693646578140964,0.05417548887353316
1.8,0.1,0.22211940755873344,0.05471382852849331
1.8,0.2,0.17635352400408577,0.046079207022197234
1.8,0.3,0.05119928498467824,0.021234447529118343
1.8,0.4,0.04035842696629213,0.016326002792588317
1.8,0.5,0.03722461695607763,0.015920860498647826
1.8,0.6,0.036269356486210415,0.015560243791089846
1.8,0.7,0.03627231869254341,0.015773851931483333
1.8,0.8,0.03644126659856997,0.015650152725052265
1.8,0.9,0.03644126659856997,0.015650152725052265
1.8,1.0,0.03644126659856997,0.015650152725052265
1.9,0.0,0.15653381001021452,0.04138328176265541
1.9,0.1,0.15467252298263534,0.037291244192738514
1.9,0.2,0.1223517875383044,0.0379319732388458
1.9,0.3,0.03274443309499489,0.01423121853055666
1.9,0.4,0.027077221654749746,0.013254653482142668
1.9,0.5,0.02643544433094995,0.013481486104719163
1.9,0.6,0.026707456588355466,0.013560493418044715
1.9,0.7,0.026821859039836568,0.013400265074458309
1.9,0.8,0.026793667007150156,0.013411827470491461
1.9,0.9,0.026793667007150156,0.013411827470491461
1.9,1.0,0.026793667007150156,0.013411827470491461
2.0,0.0,0.11302042900919305,0.03178939896354462
2.0,0.1,0.10589244126659858,0.03150707070646044
2.0,0.2,0.08461726251276815,0.032007850999778556
2.0,0.3,0.02491072522982635,0.013252440494721044
2.0,0.4,0.01843564862104188,0.010990844858003012
2.0,0.5,0.01784535240040858,0.010164163028544901
2.0,0.6,0.017368845760980592,0.009505345593377661
2.0,0.7,0.017625229826353422,0.009279731503141073
2.0,0.8,0.017625229826353422,0.009279731503141073
2.0,0.9,0.017625229826353422,0.009279731503141073
2.0,1.0,0.017625229826353422,0.009279731503141073
