b,theta,rho_mean,rho_std
1.0,0.0,0.9999767109295199,0.00023289070480082545
1.0,0.1,0.9999767109295199,0.00023289070480082545
1.0,0.2,0.9999767109295199,0.00023289070480082545
1.0,0.3,0.9999767109295199,0.00023289070480082545
1.0,0.4,0.9999767109295199,0.00023289070480082545
1.0,0.5,0.9999767109295199,0.00023289070480082545
1.0,0.6,0.9999767109295199,0.00023289070480082545
1.0,0.7,0.9999767109295199,0.00023289070480082545
1.0,0.8,0.9999767109295199,0.00023289070480082545
1.0,0.9,0.9999767109295199,0.00023289070480082545
1.0,1.0,0.9999767109295199,0.00023289070480082545
1.1,0.0,0.999588253319714,0.0018315575991027057
1.1,0.1,0.999664657814096,0.001680059365637306
1.1,0.2,0.9996582226762001,0.0017217085234299695
1.1,0.3,0.9995445352400409,0.0031372582862044212
1.1,0.4,0.9987948927477018,0.004688648557203061
1.1,0.5,0.9992349336057202,0.0036444018191051615
1.1,0.6,0.9992349336057202,0.0036444018191051615
1.1,0.7,0.9991542390194076,0.003715925941989267
1.1,0.8,0.9991542390194076,0.003715925941989267
1.1,0.9,0.9991542390194076,0.003715925941989267
1.1,1.0,0.9991542390194076,0.003715925941989267
1.2,0.0,0.9996011235955057,0.002245728883579507
1.2,0.1,0.9995036772216548,0.002431944580829592
1.2,0.2,0.9996548518896833,0.001803675891305564
1.2,0.3,0.9513875383043923,0.058483260197836145
1.2,0.4,0.950476098059244,0.05896390579769918
1.2,0.5,0.9503002042900919,0.05925402573523206
1.2,0.6,0.949667926455567,0.06004761767627143
1.2,0.7,0.9492710929519919,0.05974946693765423
1.2,0.8,0.9492710929519919,0.05974946693765423
1.2,0.9,0.9492710929519919,0.05974946693765423
1.2,1.0,0.9492710929519919,0.05974946693765423
1.3,0.0,0.9996079673135853,0.0019797876609067167
1.3,0.1,0.9995032686414709,0.0022209954018705762
1.3,0.2,0.9994774259448417,0.0026039367597299095
1.3,0.3,0.3671563840653727,0.03559604217644606
1.3,0.4,0.375723391215526,0.042487448876242895
1.3,0.5,0.3728158324821246,0.04064049392243328
1.3,0.6,0.37423227783452506,0.04153821348510829
1.3,0.7,0.37409754851889687,0.04160366353926194
1.3,0.8,0.3745584269662921,0.04149485743111801
1.3,0.9,0.3745584269662921,0.04149485743111801
1.3,1.0,0.3745584269662921,0.04149485743111801
1.4,0.0,0.9989873340143002,0.0036286946769336246
1.4,0.1,0.9989873340143002,0.0036286946769336246
1.4,0.2,0.9828555669050051,0.11390044634145877
1.4,0.3,0.1633544433094995,0.051526969926188014
1.4,0.4,0.16081777323799795,0.056378554205924476
1.4,0.5,0.15910684371807965,0.05878203444430346
1.4,0.6,0.16134382022471908,0.05687936980899591
1.4,0.7,0.16363524004085803,0.05485949833799012
1.4,0.8,0.16319897854954032,0.0543574829729661
1.4,0.9,0.16213166496424922,0.055132018715228936
1.4,1.0,0.16213166496424922,0.055132018715228936
1.5,0.0,0.9990591419816138,0.0032434251294825274
1.5,0.1,0.9973468845760981,0.017333430743824464
1.5,0.2,0.7823837589376914,0.40985746196814854
1.5,0.3,0.010697037793667007,0.01803598314849565
1.5,0.4,0.010740449438202246,0.018567192142876453
1.5,0.5,0.011391624106230847,0.016156550806964758
1.5,0.6,0.012475076608784474,0.017499899508912183
1.5,0.7,0.01211859039836568,0.017435870218808065
1.5,0.8,0.012083452502553627,0.017456914241129492
1.5,0.9,0.012083452502553627,0.017456914241129492
1.5,1.0,0.012083452502553627,0.017456914241129492
1.6,0.0,0.6627728294177733,0.3345906727934529
1.6,0.1,0.6690667007150154,0.34423304369467894
1.6,0.2,0.054867824310520945,0.1788248525013181
1.6,0.3,0.0010559754851889682,0.0029786705689618925
1.6,0.4,0.0010394279877425944,0.003266614746556755
1.6,0.5,0.0011394279877425945,0.0033663214359047843
1.6,0.6,0.001216547497446374,0.0034495248626553086
1.6,0.7,0.001216547497446374,0.0034495248626553086
1.6,0.8,0.001216547497446374,0.0034495248626553086
1.6,0.9,0.001216547497446374,0.0034495248626553086
1.6,1.0,0.001216547497446374,0.0034495248626553086
1.7,0.0,0.009835750766087843,0.019723223399037378
1.7,0.1,0.012876302349336058,0.025039126436510052
1.7,0.2,0.0006726251276813075,0.0032476642074878827
1.7,0.3,0.0,0.0
1.7,0.4,0.0,0.0
1.7,0.5,0.0,0.0
1.7,0.6,0.0,0.0
1.7,0.7,0.0,0.0
1.7,0.8,0.0,0.0
1.7,0.9,0.0,0.0
1.7,1.0,0.0,0.0
