b,theta,rho_mean,rho_std
1.0,0.0,0.9974954000000001,0.008195111430208618
1.0,0.1,0.9974954000000001,0.008195111430208618
1.0,0.2,0.9974954000000001,0.008195111430208618
1.0,0.3,0.9974954000000001,0.008195111430208618
1.0,0.4,0.9974954000000001,0.008195111430208618
1.0,0.5,0.9974954000000001,0.008195111430208618
1.0,0.6,0.9974954000000001,0.008195111430208618
1.0,0.7,0.9974954000000001,0.008195111430208618
1.0,0.8,0.9974954000000001,0.008195111430208618
1.0,0.9,0.9974954000000001,0.008195111430208618
1.0,1.0,0.9974954000000001,0.008195111430208618
1.1,0.0,0.9970424999999998,0.00911173805892958
1.1,0.1,0.9970424999999998,0.00911173805892958
1.1,0.2,0.9973639,0.008625866654745764
1.1,0.3,0.9960456,0.010992275554160125
1.1,0.4,0.9960456,0.010992275554160125
1.1,0.5,0.9960456,0.010992275554160125
1.1,0.6,0.9960456,0.010992275554160125
1.1,0.7,0.9960456,0.010992275554160125
1.1,0.8,0.9960456,0.010992275554160125
1.1,0.9,0.9960456,0.010992275554160125
1.1,1.0,0.9960456,0.010992275554160125
1.2,0.0,0.9976448000000001,0.007692915996243077
1.2,0.1,0.9976448000000001,0.007692915996243077
1.2,0.2,0.9962222000000002,0.010356868855250055
1.2,0.3,0.9922871000000001,0.015168141606270676
1.2,0.4,0.9922871000000001,0.015168141606270676
1.2,0.5,0.9922871000000001,0.015168141606270676
1.2,0.6,0.9922871000000001,0.015168141606270676
1.2,0.7,0.9922871000000001,0.015168141606270676
1.2,0.8,0.9922871000000001,0.015168141606270676
1.2,0.9,0.9922871000000001,0.015168141606270676
1.2,1.0,0.9922871000000001,0.015168141606270676
1.3,0.0,0.9972534000000001,0.008311402563085052
1.3,0.1,0.9972534000000001,0.008311402563085052
1.3,0.2,0.9942641999999999,0.013044236405169149
1.3,0.3,0.9892891999999999,0.018135649344076844
1.3,0.4,0.9892891999999999,0.018135649344076844
1.3,0.5,0.9892891999999999,0.018135649344076844
1.3,0.6,0.9892891999999999,0.018135649344076844
1.3,0.7,0.9892891999999999,0.018135649344076844
1.3,0.8,0.9892891999999999,0.018135649344076844
1.3,0.9,0.9892891999999999,0.018135649344076844
1.3,1.0,0.9892891999999999,0.018135649344076844
1.4,0.0,0.9966770999999999,0.00926556809435404
1.4,0.1,0.9966770999999999,0.00926556809435404
1.4,0.2,0.9914627999999999,0.01972231987296927
1.4,0.3,0.9829915000000001,0.02490874802213682
1.4,0.4,0.9829144000000001,0.02486746803160772
1.4,0.5,0.9829144000000001,0.02486746803160772
1.4,0.6,0.9824584000000001,0.024968882723999695
1.4,0.7,0.9824584000000001,0.024968882723999695
1.4,0.8,0.9824584000000001,0.024968882723999695
1.4,0.9,0.9824584000000001,0.024968882723999695
1.4,1.0,0.9824584000000001,0.024968882723999695
1.5,0.0,0.9960502999999998,0.010209894038271296
1.5,0.1,0.9963753999999999,0.009800686475647509
1.5,0.2,0.987252,0.020803260331112527
1.5,0.3,0.9731132000000001,0.02777657394934865
1.5,0.4,0.9730032,0.02765840621042738
1.5,0.5,0.9732052,0.027711660801980776
1.5,0.6,0.9732052,0.027711660801980776
1.5,0.7,0.9732052,0.027711660801980776
1.5,0.8,0.9732052,0.027711660801980776
1.5,0.9,0.9732052,0.027711660801980776
1.5,1.0,0.9732052,0.027711660801980776
1.6,0.0,0.9967116,0.009317953748576264
1.6,0.1,0.9964703,0.009541688482706324
1.6,0.2,0.9707228999999999,0.037264583974301616
1.6,0.3,0.9326961999999999,0.047407445794171096
1.6,0.4,0.9347319999999998,0.035678386746153166
1.6,0.5,0.9355204999999998,0.03545531996596401
1.6,0.6,0.9355204999999998,0.03545531996596401
1.6,0.7,0.9355204999999998,0.03545531996596401
1.6,0.8,0.9355204999999998,0.03545531996596401
1.6,0.9,0.9355204999999998,0.03545531996596401
1.6,1.0,0.9355204999999998,0.03545531996596401
1.7,0.0,0.9966837,0.009691836266266655
1.7,0.1,0.9929983,0.02281448813359572
1.7,0.2,0.9294592999999999,0.06881671872643107
1.7,0.3,0.8794565,0.043808231212521004
1.7,0.4,0.8791040000000001,0.04841897962451077
1.7,0.5,0.8793122,0.04847094090568936
1.7,0.6,0.8793122,0.04847094090568936
1.7,0.7,0.8793122,0.04847094090568936
1.7,0.8,0.8793122,0.04847094090568936
1.7,0.9,0.8793122,0.04847094090568936
1.7,1.0,0.8793122,0.04847094090568936
1.8,0.0,0.9963123999999999,0.01010052415081577
1.8,0.1,0.9908294999999999,0.03248529284557285
1.8,0.2,0.8783234999999999,0.09493413211886237
1.8,0.3,0.8115327000000001,0.04324467482496743
1.8,0.4,0.8092656000000001,0.04383999514580081
1.8,0.5,0.809354,0.04377542244343291
1.8,0.6,0.809354,0.04377542244343291
1.8,0.7,0.8088006,0.04391015415618808
1.8,0.8,0.8088006,0.04391015415618808
1.8,0.9,0.8088006,0.04391015415618808
1.8,1.0,0.8088006,0.04391015415618808
1.9,0.0,0.996232,0.009980456964093465
1.9,0.1,0.9803170999999999,0.058598693099071696
1.9,0.2,0.808455,0.12614752552051706
1.9,0.3,0.7510163,0.05072475200500933
1.9,0.4,0.7499140999999999,0.05033154871600432
1.9,0.5,0.7497493999999999,0.04948455877556273
1.9,0.6,0.7497493999999999,0.04948455877556273
1.9,0.7,0.7498391999999999,0.04942253701511186
1.9,0.8,0.7498391999999999,0.04942253701511186
1.9,0.9,0.7498391999999999,0.04942253701511186
1.9,1.0,0.7498391999999999,0.04942253701511186
2.0,0.0,0.9948779000000001,0.011660836664110821
2.0,0.1,0.9531339999999999,0.11946899595267133
2.0,0.2,0.6987445999999999,0.1575148192894814
2.0,0.3,0.6118073999999999,0.04966559719450546
2.0,0.4,0.6122063,0.05038371188732978
2.0,0.5,0.6111395,0.05038688550665348
2.0,0.6,0.6111395,0.05038688550665348
2.0,0.7,0.6103881999999999,0.05030863693504951
2.0,0.8,0.6104289,0.05032278556740106
2.0,0.9,0.6104289,0.05032278556740106
2.0,1.0,0.6104289,0.05032278556740106
