b,theta,rho_mean,rho_std
1.0,0.0,0.9810756,0.041247901307371077
1.0,0.1,0.9810756,0.041247901307371077
1.0,0.2,0.9810756,0.041247901307371077
1.0,0.3,0.9810756,0.041247901307371077
1.0,0.4,0.9810756,0.041247901307371077
1.0,0.5,0.9810756,0.041247901307371077
1.0,0.6,0.9810756,0.041247901307371077
1.0,0.7,0.9810756,0.041247901307371077
1.0,0.8,0.9810756,0.041247901307371077
1.0,0.9,0.9810756,0.041247901307371077
1.0,1.0,0.9810756,0.041247901307371077
1.1,0.0,0.9495885000000002,0.07491697452156384
1.1,0.1,0.9495229000000001,0.07506960046335184
1.1,0.2,0.9509389000000001,0.08021445432474225
1.1,0.3,0.9252138000000001,0.10096853687134123
1.1,0.4,0.9276129000000001,0.0990035038283642
1.1,0.5,0.9267495,0.09957778082022517
1.1,0.6,0.9267495,0.09957778082022517
1.1,0.7,0.9267495,0.09957778082022517
1.1,0.8,0.9267495,0.09957778082022517
1.1,0.9,0.9267495,0.09957778082022517
1.1,1.0,0.9267495,0.09957778082022517
1.2,0.0,0.9226680999999999,0.10260194992628924
1.2,0.1,0.9248306,0.09845516642409356
1.2,0.2,0.9224882999999999,0.10795510272400984
1.2,0.3,0.8526348,0.14567195799612304
1.2,0.4,0.8554752000000001,0.14479929893713872
1.2,0.5,0.8565179,0.14536502501484203
1.2,0.6,0.8565179,0.14536502501484203
1.2,0.7,0.8565179,0.14536502501484203
1.2,0.8,0.8565179,0.14536502501484203
1.2,0.9,0.8565179,0.14536502501484203
1.2,1.0,0.8565179,0.14536502501484203
1.3,0.0,0.8872388000000001,0.13010493237709508
1.3,0.1,0.8861197000000002,0.13148378798905017
1.3,0.2,0.8862484,0.14536268799124624
1.3,0.3,0.7630900000000003,0.1737491449234101
1.3,0.4,0.7596750000000001,0.1743519853542531
1.3,0.5,0.7597794,0.17445603738894946
1.3,0.6,0.7617998,0.17450143342284113
1.3,0.7,0.7617998,0.17450143342284113
1.3,0.8,0.7617998,0.17450143342284113
1.3,0.9,0.7617998,0.17450143342284113
1.3,1.0,0.7617998,0.17450143342284113
1.4,0.0,0.8454857000000001,0.16866536134514065
