b,theta,rho_mean,rho_std
1.0,0.0,0.9946174999999999,0.008616663252446427
1.0,0.1,0.9946174999999999,0.008616663252446427
1.0,0.2,0.9946174999999999,0.008616663252446427
1.0,0.3,0.9946174999999999,0.008616663252446427
1.0,0.4,0.9946174999999999,0.008616663252446427
1.0,0.5,0.9946174999999999,0.008616663252446427
1.0,0.6,0.9946174999999999,0.008616663252446427
1.0,0.7,0.9946174999999999,0.008616663252446427
1.0,0.8,0.9946174999999999,0.008616663252446427
1.0,0.9,0.9946174999999999,0.008616663252446427
1.0,1.0,0.9946174999999999,0.008616663252446427
1.1,0.0,0.9962597,0.007638684435757978
1.1,0.1,0.9961597000000001,0.008032704923868409
1.1,0.2,0.8316426999999998,0.2978464017103921
1.1,0.3,0.3226837,0.03362661949552719
1.1,0.4,0.31435860000000004,0.03604294301877338
1.1,0.5,0.3139529999999999,0.040668825861705137
1.1,0.6,0.31018629999999997,0.04226869731894282
1.1,0.7,0.3103597,0.042203964901943086
1.1,0.8,0.3103597,0.042203964901943086
1.1,0.9,0.3103597,0.042203964901943086
1.1,1.0,0.3103597,0.042203964901943086
1.2,0.0,0.21239030000000003,0.0401485902102264
1.2,0.1,0.1912314,0.053653144560710755
1.2,0.2,0.10397850000000002,0.03543891188376204
1.2,0.3,0.10481179999999998,0.03363172790654382
1.2,0.4,0.1021837,0.038336917899728255
1.2,0.5,0.10259839999999996,0.03492205455559335
1.2,0.6,0.10101159999999998,0.03776252714001011
1.2,0.7,0.10100539999999998,0.03775998775947841
1.2,0.8,0.1005687,0.03764594025236783
1.2,0.9,0.1005687,0.03764594025236783
1.2,1.0,0.1005687,0.03764594025236783
1.3,0.0,0.07034030000000001,0.03390973536367312
1.3,0.1,0.015261800000000002,0.024040635438416103
1.3,0.2,0.0126919,0.02314318293916279
1.3,0.3,0.011970100000000001,0.022780991743960224
1.3,0.4,0.0096885,0.020419434759784385
1.3,0.5,0.0112525,0.022711209103422784
1.3,0.6,0.013393500000000001,0.024170884746828044
1.3,0.7,0.0138355,0.024327116988241658
1.3,0.8,0.0138355,0.024327116988241658
1.3,0.9,0.0138355,0.024327116988241658
1.3,1.0,0.0138355,0.024327116988241658
1.4,0.0,0.00024299999999999994,0.00182726626965038
1.4,0.1,0.0,0.0
1.4,0.2,0.0,0.0
1.4,0.3,0.0,0.0
1.4,0.4,0.0,0.0
1.4,0.5,0.0,0.0
1.4,0.6,0.0,0.0
1.4,0.7,0.0,0.0
1.4,0.8,0.0,0.0
1.4,0.9,0.0,0.0
1.4,1.0,0.0,0.0
1.5,0.0,0.0,0.0
1.5,0.1,0.0,0.0
1.5,0.2,0.0,0.0
1.5,0.3,0.0,0.0
1.5,0.4,0.0,0.0
1.5,0.5,0.0,0.0
1.5,0.6,0.0,0.0
1.5,0.7,0.0,0.0
1.5,0.8,0.0,0.0
1.5,0.9,0.0,0.0
1.5,1.0,0.0,0.0
1.6,0.0,0.0,0.0
1.6,0.1,0.0,0.0
1.6,0.2,0.0,0.0
1.6,0.3,0.0,0.0
1.6,0.4,0.0,0.0
1.6,0.5,0.0,0.0
1.6,0.6,0.0,0.0
1.6,0.7,0.0,0.0
1.6,0.8,0.0,0.0
1.6,0.9,0.0,0.0
1.6,1.0,0.0,0.0
1.7,0.0,0.0,0.0
1.7,0.1,0.0,0.0
1.7,0.2,0.0,0.0
1.7,0.3,0.0,0.0
1.7,0.4,0.0,0.0
1.7,0.5,0.0,0.0
1.7,0.6,0.0,0.0
1.7,0.7,0.0,0.0
1.7,0.8,0.0,0.0
1.7,0.9,0.0,0.0
1.7,1.0,0.0,0.0
1.8,0.0,0.0,0.0
1.8,0.1,0.0,0.0
1.8,0.2,0.0,0.0
1.8,0.3,0.0,0.0
1.8,0.4,0.0,0.0
1.8,0.5,0.0,0.0
1.8,0.6,0.0,0.0
1.8,0.7,0.0,0.0
1.8,0.8,0.0,0.0
1.8,0.9,0.0,0.0
1.8,1.0,0.0,0.0
1.9,0.0,0.0,0.0
1.9,0.1,0.0,0.0
1.9,0.2,0.0,0.0
1.9,0.3,0.0,0.0
1.9,0.4,0.0,0.0
1.9,0.5,0.0,0.0
1.9,0.6,0.0,0.0
1.9,0.7,0.0,0.0
1.9,0.8,0.0,0.0
1.9,0.9,0.0,0.0
1.9,1.0,0.0,0.0
2.0,0.0,0.0,0.0
2.0,0.1,0.0,0.0
2.0,0.2,0.0,0.0
2.0,0.3,0.0,0.0
2.0,0.4,0.0,0.0
2.0,0.5,0.0,0.0
2.0,0.6,0.0,0.0
2.0,0.7,0.0,0.0
2.0,0.8,0.0,0.0
2.0,0.9,0.0,0.0
2.0,1.0,0.0,0.0
