b,theta,rho_mean,rho_std
1.0,0.0,0.9946174999999999,0.008616663252446427
1.0,0.1,0.9946174999999999,0.008616663252446427
1.0,0.2,0.9946174999999999,0.008616663252446427
1.0,0.3,0.9946174999999999,0.008616663252446427
1.0,0.4,0.9946174999999999,0.008616663252446427
1.0,0.5,0.9946174999999999,0.008616663252446427
1.0,0.6,0.9946174999999999,0.008616663252446427
1.0,0.7,0.9946174999999999,0.008616663252446427
1.0,0.8,0.9946174999999999,0.008616663252446427
1.0,0.9,0.9946174999999999,0.008616663252446427
1.0,1.0,0.9946174999999999,0.008616663252446427
1.1,0.0,0.9955363999999999,0.00773335769588639
1.1,0.1,0.9955363999999999,0.00773335769588639
1.1,0.2,0.9886757000000002,0.0682863604739466
1.1,0.3,0.9483601,0.17707957708098868
1.1,0.4,0.7520045999999999,0.32741219355689455
1.1,0.5,0.31214210000000003,0.04085074355603345
1.1,0.6,0.3122757,0.037166923745679724
1.1,0.7,0.3200334,0.03768960790295898
1.1,0.8,0.3218944,0.038029875213143584
1.1,0.9,0.32143590000000005,0.03836490091755929
1.1,1.0,0.3221969,0.038791179167460485
1.2,0.0,0.9889667,0.07077521494574326
1.2,0.1,0.9705570000000001,0.14740017103522005
1.2,0.2,0.8167570000000001,0.36065920335497675
1.2,0.3,0.5335574,0.44718170456111217
1.2,0.4,0.21246749999999995,0.2929480723984537
1.2,0.5,0.1011102,0.03355880681894264
1.2,0.6,0.1066497,0.03440598668998044
1.2,0.7,0.10438899999999998,0.035470304196580836
1.2,0.8,0.10238319999999998,0.03489242379287249
1.2,0.9,0.10400069999999997,0.03384745924711113
1.2,1.0,0.10252979999999998,0.03515380574767766
1.3,0.0,0.032925100000000006,0.037240457159987285
1.3,0.1,0.017098,0.025962346160965852
1.3,0.2,0.011870100000000001,0.022545350412943782
1.3,0.3,0.0115896,0.02322326850032923
1.3,0.4,0.010498400000000001,0.021476202273232766
1.3,0.5,0.0145523,0.025122213192047126
1.3,0.6,0.014103300000000001,0.024319351527065228
1.3,0.7,0.014505400000000002,0.024414780273391355
1.3,0.8,0.013986700000000001,0.02427375541879157
1.3,0.9,0.014719699999999997,0.024776420668070925
1.3,1.0,0.014931700000000001,0.025125848377254206
1.4,0.0,0.0006437999999999999,0.004787061218650866
1.4,0.1,0.0,0.0
1.4,0.2,0.0004099,0.0033852614285153726
1.4,0.3,0.0,0.0
1.4,0.4,0.0,0.0
1.4,0.5,0.0002923,0.0029230000000000007
1.4,0.6,0.0,0.0
1.4,0.7,0.0,0.0
1.4,0.8,2.96e-05,0.00029600000000000004
1.4,0.9,2.96e-05,0.00029600000000000004
1.4,1.0,2.96e-05,0.00029600000000000004
1.5,0.0,0.0,0.0
1.5,0.1,0.0,0.0
1.5,0.2,0.0,0.0
1.5,0.3,0.0,0.0
1.5,0.4,0.0,0.0
1.5,0.5,0.0,0.0
1.5,0.6,0.0,0.0
1.5,0.7,0.0,0.0
1.5,0.8,0.0,0.0
1.5,0.9,0.0,0.0
1.5,1.0,0.0,0.0
1.6,0.0,0.0,0.0
1.6,0.1,0.0,0.0
1.6,0.2,0.0,0.0
1.6,0.3,0.0,0.0
1.6,0.4,0.0,0.0
1.6,0.5,0.0,0.0
1.6,0.6,0.0,0.0
1.6,0.7,0.0,0.0
1.6,0.8,0.0,0.0
1.6,0.9,0.0,0.0
1.6,1.0,0.0,0.0
1.7,0.0,0.0,0.0
1.7,0.1,0.0,0.0
1.7,0.2,0.0,0.0
1.7,0.3,0.0,0.0
1.7,0.4,0.0,0.0
1.7,0.5,0.0,0.0
1.7,0.6,0.0,0.0
1.7,0.7,0.0,0.0
1.7,0.8,0.0,0.0
1.7,0.9,0.0,0.0
1.7,1.0,0.0,0.0
1.8,0.0,0.0,0.0
1.8,0.1,0.0,0.0
1.8,0.2,0.0,0.0
1.8,0.3,0.0,0.0
1.8,0.4,0.0,0.0
1.8,0.5,0.0,0.0
1.8,0.6,0.0,0.0
1.8,0.7,0.0,0.0
1.8,0.8,0.0,0.0
1.8,0.9,0.0,0.0
1.8,1.0,0.0,0.0
1.9,0.0,0.0,0.0
1.9,0.1,0.0,0.0
1.9,0.2,0.0,0.0
1.9,0.3,0.0,0.0
1.9,0.4,0.0,0.0
1.9,0.5,0.0,0.0
1.9,0.6,0.0,0.0
1.9,0.7,0.0,0.0
1.9,0.8,0.0,0.0
1.9,0.9,0.0,0.0
1.9,1.0,0.0,0.0
2.0,0.0,0.0,0.0
2.0,0.1,0.0,0.0
2.0,0.2,0.0,0.0
2.0,0.3,0.0,0.0
2.0,0.4,0.0,0.0
2.0,0.5,0.0,0.0
2.0,0.6,0.0,0.0
2.0,0.7,0.0,0.0
2.0,0.8,0.0,0.0
2.0,0.9,0.0,0.0
2.0,1.0,0.0,0.0
