b,theta,rho_mean,rho_std
1.0,0.0,0.85,0.3588702812826367
1.0,0.1,0.85,0.3588702812826367
1.0,0.2,0.85,0.3588702812826367
1.0,0.3,0.85,0.3588702812826367
1.0,0.4,0.85,0.3588702812826367
1.0,0.5,0.85,0.3588702812826367
1.0,0.6,0.85,0.3588702812826367
1.0,0.7,0.85,0.3588702812826367
1.0,0.8,0.85,0.3588702812826367
1.0,0.9,0.85,0.3588702812826367
1.0,1.0,0.85,0.3588702812826367
1.1,0.0,0.58,0.49604496374885826
1.1,0.1,0.57,0.497569851956243
1.1,0.2,0.56,0.4988876515698589
1.1,0.3,0.54,0.5009082659620331
1.1,0.4,0.46912173913043476,0.5007523696486056
1.1,0.5,0.4212391304347826,0.4937248058377119
1.1,0.6,0.4112391304347826,0.492008175867425
1.1,0.7,0.4012391304347826,0.49007946920808226
1.1,0.8,0.38123913043478264,0.4855754396290899
1.1,0.9,0.38123913043478264,0.4855754396290899
1.1,1.0,0.37286521739130435,0.48200433022143885
1.2,0.0,0.46165869565217393,0.49964267621404285
1.2,0.1,0.461654347826087,0.49964527801699976
1.2,0.2,0.42164130434782604,0.49491147914141437
1.2,0.3,0.38164130434782606,0.4868153600283216
1.2,0.4,0.34936086956521734,0.4731764357772319
1.2,0.5,0.34802173913043477,0.4715030044996337
1.2,0.6,0.318004347826087,0.46062051442689483
1.2,0.7,0.29986304347826087,0.4546398091148247
1.2,0.8,0.3113282608695652,0.45808316730904763
1.2,0.9,0.3113282608695652,0.45808316730904763
1.2,1.0,0.3113282608695652,0.45808316730904763
1.3,0.0,0.42460000000000003,0.49279686774512566
1.3,0.1,0.41459782608695656,0.4911472832751427
1.3,0.2,0.4045956521739131,0.4892856475738971
1.3,0.3,0.3545913043478261,0.4766971584786761
1.3,0.4,0.29585434782608694,0.44937702561675796
1.3,0.5,0.24532608695652172,0.4190614248563099
1.3,0.6,0.1892,0.3733987522369082
1.3,0.7,0.15846956521739128,0.34463878082955934
1.3,0.8,0.14995652173913043,0.3339915909801741
1.3,0.9,0.14995652173913043,0.3339915909801741
1.3,1.0,0.14995652173913043,0.3339915909801741
1.4,0.0,0.38469565217391305,0.4848671374655758
1.4,0.1,0.3846934782608695,0.4848681949369338
1.4,0.2,0.3646934782608695,0.4796188869239438
1.4,0.3,0.2946304347826087,0.45383645125611466
1.4,0.4,0.2330413043478261,0.4218218008599143
1.4,0.5,0.1630413043478261,0.3677395844786293
1.4,0.6,0.03658478260869566,0.17292652317327017
1.4,0.7,0.015045652173913045,0.1028862714889421
1.4,0.8,0.006534782608695653,0.02990132295073959
1.4,0.9,0.006534782608695653,0.02990132295073959
1.4,1.0,0.006534782608695653,0.02990132295073959
1.5,0.0,0.3646152173913043,0.4796526091610226
1.5,0.1,0.3645717391304348,0.47967177944553757
1.5,0.2,0.3445695652173913,0.47350815017692566
1.5,0.3,0.2745695652173913,0.44416259618530424
1.5,0.4,0.2,0.4020151261036849
1.5,0.5,0.13,0.3379976689896311
1.5,0.6,0.04,0.19694638556693236
1.5,0.7,0.011478260869565217,0.1009389006473617
1.5,0.8,0.0014782608695652175,0.014782608695652177
1.5,0.9,0.0014782608695652175,0.014782608695652177
1.5,1.0,0.0014782608695652175,0.014782608695652177
1.6,0.0,0.32303695652173914,0.46721645007319174
1.6,0.1,0.31303478260869566,0.46326654769826053
1.6,0.2,0.3015086956521739,0.4598200380333412
1.6,0.3,0.26150869565217394,0.44020291275658474
1.6,0.4,0.17,0.3775251680686369
1.6,0.5,0.15,0.3588702812826367
1.6,0.6,0.04,0.19694638556693236
1.6,0.7,0.021478260869565217,0.14126845934576812
1.6,0.8,0.0,0.0
1.6,0.9,0.0,0.0
1.6,1.0,0.0,0.0
1.7,0.0,0.2215086956521739,0.41580093577270366
1.7,0.1,0.2215086956521739,0.41580093577270366
1.7,0.2,0.21,0.40936018074033237
1.7,0.3,0.16,0.3684529491774707
1.7,0.4,0.15,0.3588702812826367
1.7,0.5,0.11,0.31446603773522014
1.7,0.6,0.04,0.19694638556693236
1.7,0.7,0.01,0.09999999999999999
1.7,0.8,0.0,0.0
1.7,0.9,0.0,0.0
1.7,1.0,0.0,0.0
1.8,0.0,0.1428413043478261,0.34815629261191905
1.8,0.1,0.1428413043478261,0.34815629261191905
1.8,0.2,0.14147826086956522,0.34844883864449744
1.8,0.3,0.11147826086956522,0.31429112617647786
1.8,0.4,0.11,0.3144660377352202
1.8,0.5,0.08,0.2726599243442907
1.8,0.6,0.03,0.1714466079977653
1.8,0.7,0.0,0.0
1.8,0.8,0.0,0.0
1.8,0.9,0.0,0.0
1.8,1.0,0.0,0.0
1.9,0.0,0.12284130434782609,0.32615657177412655
1.9,0.1,0.12283913043478262,0.3261564042867833
1.9,0.2,0.12147608695652173,0.3263842990629312
1.9,0.3,0.1,0.30151134457776363
1.9,0.4,0.07,0.2564323999762428
1.9,0.5,0.05,0.2190429135575903
1.9,0.6,0.03,0.1714466079977653
1.9,0.7,0.0,0.0
1.9,0.8,0.0,0.0
1.9,0.9,0.0,0.0
1.9,1.0,0.0,0.0
2.0,0.0,0.07139782608695652,0.25642795315366873
2.0,0.1,0.07,0.2564323999762428
2.0,0.2,0.07,0.2564323999762428
2.0,0.3,0.06,0.23868325657594203
2.0,0.4,0.04,0.1969463855669324
2.0,0.5,0.04,0.1969463855669324
2.0,0.6,0.02,0.14070529413628965
2.0,0.7,0.0,0.0
2.0,0.8,0.0,0.0
2.0,0.9,0.0,0.0
2.0,1.0,0.0,0.0
