b,theta,rho_mean,rho_std
1.0,0.0,0.74,0.4408440022768081
1.0,0.1,0.74,0.4408440022768081
1.0,0.2,0.74,0.4408440022768081
1.0,0.3,0.74,0.4408440022768081
1.0,0.4,0.74,0.4408440022768081
1.0,0.5,0.74,0.4408440022768081
1.0,0.6,0.74,0.4408440022768081
1.0,0.7,0.74,0.4408440022768081
1.0,0.8,0.74,0.4408440022768081
1.0,0.9,0.74,0.4408440022768081
1.0,1.0,0.74,0.4408440022768081
1.1,0.0,0.5614264705882352,0.4949666198834559
1.1,0.1,0.5510735294117647,0.4962920361478973
1.1,0.2,0.534,0.4956600523451786
1.1,0.3,0.4329970588235294,0.4850700011765133
1.1,0.4,0.39535,0.47592922873326843
1.1,0.5,0.3740176470588235,0.46760421112614653
1.1,0.6,0.33020294117647064,0.43782180642061935
1.1,0.7,0.29517647058823526,0.41821738276373055
1.1,0.8,0.2906470588235294,0.41297091810901493
1.1,0.9,0.28914411764705883,0.4137596020755785
1.1,1.0,0.28914411764705883,0.4137596020755785
1.2,0.0,0.5137882352941177,0.4953980458832544
1.2,0.1,0.5139441176470588,0.4953640504113825
1.2,0.2,0.47037058823529415,0.4842335529779467
1.2,0.3,0.44116470588235296,0.47557782223624656
1.2,0.4,0.38043529411764704,0.4685292270960789
1.2,0.5,0.3130411764705882,0.43276698381085715
1.2,0.6,0.26483235294117646,0.4020457308941032
1.2,0.7,0.2219970588235294,0.36720182022481135
1.2,0.8,0.2043588235294118,0.35025036951434796
1.2,0.9,0.19729117647058825,0.34104290134143067
1.2,1.0,0.18729117647058824,0.33180403958677135
1.3,0.0,0.46378235294117653,0.49007228386929563
1.3,0.1,0.46378235294117653,0.49007228386929563
1.3,0.2,0.4085411764705883,0.4746862378784147
1.3,0.3,0.36583823529411774,0.4507604349576207
1.3,0.4,0.3473558823529412,0.45161074580684674
1.3,0.5,0.2645794117647059,0.4086024854898821
1.3,0.6,0.19331764705882354,0.35789845757041916
1.3,0.7,0.12808823529411764,0.2817102090553126
1.3,0.8,0.11089705882352942,0.25305619051507544
1.3,0.9,0.09816470588235295,0.23637143861318358
1.3,1.0,0.09816470588235295,0.23637143861318358
1.4,0.0,0.41247058823529414,0.4774494778660652
1.4,0.1,0.41247058823529414,0.4774494778660652
1.4,0.2,0.37838823529411764,0.45499707131601963
1.4,0.3,0.3369499999999999,0.44812167777122486
1.4,0.4,0.3039176470588235,0.43699477862485336
1.4,0.5,0.21000588235294118,0.37249751726754754
1.4,0.6,0.14643529411764705,0.31594253468939887
1.4,0.7,0.07931176470588235,0.19700770090940256
1.4,0.8,0.06271764705882353,0.14490183487339522
1.4,0.9,0.04998235294117647,0.10765480086708913
1.4,1.0,0.04998235294117647,0.10765480086708913
1.5,0.0,0.3838852941176471,0.47165808516071567
1.5,0.1,0.3838823529411765,0.4716574084177861
1.5,0.2,0.3648529411764706,0.45782236189776776
1.5,0.3,0.30574117647058824,0.44311996259226677
1.5,0.4,0.28246176470588236,0.4294741968936208
1.5,0.5,0.17280882352941176,0.34958319968720974
1.5,0.6,0.11562647058823529,0.2903253754419834
1.5,0.7,0.06385,0.1880486768738337
1.5,0.8,0.04393529411764706,0.13182855635614288
1.5,0.9,0.03870588235294118,0.09414786168307063
1.5,1.0,0.03870588235294118,0.09414786168307063
1.6,0.0,0.3304735294117647,0.4575402508510687
1.6,0.1,0.3204705882352941,0.4536698115671469
1.6,0.2,0.3049558823529412,0.44205945580570133
1.6,0.3,0.26145,0.42277433859028385
1.6,0.4,0.2308676470588235,0.400560260389119
1.6,0.5,0.1424029411764706,0.3264900457633038
1.6,0.6,0.10897941176470587,0.28922666360327043
1.6,0.7,0.05426176470588235,0.18299805146224377
1.6,0.8,0.02849705882352941,0.1173100930015434
1.6,0.9,0.020855882352941175,0.06784980976275096
1.6,1.0,0.020855882352941175,0.06784980976275096
1.7,0.0,0.24642941176470587,0.40628847649583344
1.7,0.1,0.2464205882352941,0.4062874593059928
1.7,0.2,0.2477264705882353,0.4057391134586442
1.7,0.3,0.20925000000000002,0.37640681643612467
1.7,0.4,0.20426764705882355,0.37750188673314655
1.7,0.5,0.1300235294117647,0.31516251953872154
1.7,0.6,0.09484411764705883,0.2746865819100566
1.7,0.7,0.049664705882352944,0.18087586769625155
1.7,0.8,0.02436470588235294,0.1139099840401066
1.7,0.9,0.014288235294117647,0.0568410767615264
1.7,1.0,0.014288235294117647,0.0568410767615264
1.8,0.0,0.23677941176470585,0.40183347050127505
1.8,0.1,0.23915588235294116,0.4011203065892499
1.8,0.2,0.23167647058823526,0.3996048616721539
1.8,0.3,0.20060000000000003,0.380744938861662
1.8,0.4,0.18013823529411763,0.371911008368693
1.8,0.5,0.12640588235294117,0.3182263554713163
1.8,0.6,0.0900264705882353,0.27418979340406224
1.8,0.7,0.04243823529411765,0.17784815016017508
1.8,0.8,0.019547058823529414,0.1096214378413563
1.8,0.9,0.011902941176470587,0.05214700185220612
1.8,1.0,0.011902941176470587,0.05214700185220612
1.9,0.0,0.19665294117647059,0.38740347063243324
1.9,0.1,0.19902941176470587,0.3869120834181733
1.9,0.2,0.1943941176470588,0.38465185255497153
1.9,0.3,0.16345588235294117,0.3580747458785862
1.9,0.4,0.14347058823529413,0.33796201727370073
1.9,0.5,0.10871764705882353,0.2899469576750254
1.9,0.6,0.06815882352941176,0.2249755990481382
1.9,0.7,0.045279411764705874,0.1794328293596269
1.9,0.8,0.019520588235294116,0.10956811686210409
1.9,0.9,0.009520588235294117,0.0468775783138616
1.9,1.0,0.009520588235294117,0.0468775783138616
2.0,0.0,0.1793588235294118,0.3765848580199733
2.0,0.1,0.1793529411764706,0.37658314939367105
2.0,0.2,0.17593235294117648,0.36606660664823476
2.0,0.3,0.1492205882352941,0.33792170323004295
2.0,0.4,0.1245264705882353,0.3035619541545612
2.0,0.5,0.0916,0.26109386932306866
2.0,0.6,0.06529411764705882,0.22398608243661358
2.0,0.7,0.04290588235294118,0.17843238271246445
2.0,0.8,0.017150000000000002,0.10735571012797383
2.0,0.9,0.00715,0.04086187638283375
2.0,1.0,0.00715,0.04086187638283375
