b,theta,rho_mean,rho_std
1.0,0.0,1.0,0.0
1.0,0.1,1.0,0.0
1.0,0.2,1.0,0.0
1.0,0.3,1.0,0.0
1.0,0.4,1.0,0.0
1.0,0.5,1.0,0.0
1.0,0.6,1.0,0.0
1.0,0.7,1.0,0.0
1.0,0.8,1.0,0.0
1.0,0.9,1.0,0.0
1.0,1.0,1.0,0.0
1.1,0.0,0.89,0.3144660377352201
1.1,0.1,0.8589863636363637,0.3484712648867775
1.1,0.2,0.8414854545454545,0.35812938120267057
1.1,0.3,0.8179772727272728,0.364658896673703
1.1,0.4,0.818528181818182,0.36476271487908013
1.1,0.5,0.8268209090909093,0.35526878004988943
1.1,0.6,0.8268209090909093,0.35526878004988943
1.1,0.7,0.8268209090909093,0.35526878004988943
1.1,0.8,0.8268209090909093,0.35526878004988943
1.1,0.9,0.8268209090909093,0.35526878004988943
1.1,1.0,0.8268209090909093,0.35526878004988943
1.2,0.0,0.7357381818181818,0.4343191559088947
1.2,0.1,0.6775654545454546,0.4598671593559507
1.2,0.2,0.6246563636363636,0.4633714671304549
1.2,0.3,0.5973609090909091,0.446384422051896
1.2,0.4,0.6025072727272727,0.44117664449974886
1.2,0.5,0.6025054545454546,0.4411761243602923
1.2,0.6,0.5957899999999999,0.4452072206892755
1.2,0.7,0.5957899999999999,0.4452072206892755
1.2,0.8,0.5957899999999999,0.4452072206892755
1.2,0.9,0.5957899999999999,0.4452072206892755
1.2,1.0,0.5957899999999999,0.4452072206892755
1.3,0.0,0.6480581818181819,0.4672516194580112
1.3,0.1,0.5624781818181819,0.4583765720778811
1.3,0.2,0.44824454545454545,0.4280029221004082
1.3,0.3,0.26811,0.2544541763059757
1.3,0.4,0.25483727272727275,0.24607917505658064
1.3,0.5,0.26685272727272724,0.25539550827075747
1.3,0.6,0.26685272727272724,0.25539550827075747
1.3,0.7,0.26685272727272724,0.25539550827075747
1.3,0.8,0.26685272727272724,0.25539550827075747
1.3,0.9,0.26685272727272724,0.25539550827075747
1.3,1.0,0.26685272727272724,0.25539550827075747
1.4,0.0,0.5047372727272728,0.47596742435450873
1.4,0.1,0.3695645454545454,0.44591720436703647
1.4,0.2,0.22339636363636362,0.3705418056558658
1.4,0.3,0.04783272727272729,0.06844524040526659
1.4,0.4,0.043989090909090915,0.06711468701998692
1.4,0.5,0.044311818181818195,0.06698850845204549
1.4,0.6,0.044311818181818195,0.06698850845204549
1.4,0.7,0.044311818181818195,0.06698850845204549
1.4,0.8,0.044311818181818195,0.06698850845204549
1.4,0.9,0.044311818181818195,0.06698850845204549
1.4,1.0,0.044311818181818195,0.06698850845204549
1.5,0.0,0.1475518181818182,0.2910687619242703
1.5,0.1,0.06927909090909092,0.19760389076816046
1.5,0.2,0.03141818181818182,0.11884961781763097
1.5,0.3,0.014487272727272729,0.03493239513310489
1.5,0.4,0.013556363636363637,0.03399241057882891
1.5,0.5,0.011219090909090911,0.028645255211478378
1.5,0.6,0.01211,0.030887110141922886
1.5,0.7,0.01036909090909091,0.027875035140884002
1.5,0.8,0.01036909090909091,0.027875035140884002
1.5,0.9,0.01036909090909091,0.027875035140884002
1.5,1.0,0.01036909090909091,0.027875035140884002
1.6,0.0,0.020507272727272728,0.1042011155098413
1.6,0.1,0.007561818181818182,0.029365247932304606
1.6,0.2,0.007101818181818181,0.026347682960026108
1.6,0.3,0.005075454545454546,0.021327971930698995
1.6,0.4,0.006230909090909092,0.02449878030120612
1.6,0.5,0.004743636363636363,0.01983040364163152
1.6,0.6,0.004743636363636363,0.01983040364163152
1.6,0.7,0.004743636363636363,0.01983040364163152
1.6,0.8,0.004743636363636363,0.01983040364163152
1.6,0.9,0.004743636363636363,0.01983040364163152
1.6,1.0,0.004743636363636363,0.01983040364163152
1.7,0.0,0.002489090909090909,0.01514740318858458
1.7,0.1,0.0016881818181818185,0.011521676091245667
1.7,0.2,0.0016063636363636367,0.010782716558239095
1.7,0.3,0.0006336363636363637,0.004784590267938949
1.7,0.4,0.0006336363636363637,0.004784590267938949
1.7,0.5,0.0006336363636363637,0.004784590267938949
1.7,0.6,0.0006336363636363637,0.004784590267938949
1.7,0.7,0.0006336363636363637,0.004784590267938949
1.7,0.8,0.0006336363636363637,0.004784590267938949
1.7,0.9,0.0006336363636363637,0.004784590267938949
1.7,1.0,0.0006336363636363637,0.004784590267938949
1.8,0.0,0.0,0.0
1.8,0.1,0.0,0.0
1.8,0.2,0.0,0.0
1.8,0.3,0.0,0.0
1.8,0.4,0.0,0.0
1.8,0.5,0.0,0.0
1.8,0.6,0.0,0.0
1.8,0.7,0.0,0.0
1.8,0.8,0.0,0.0
1.8,0.9,0.0,0.0
1.8,1.0,0.0,0.0
1.9,0.0,0.0,0.0
1.9,0.1,0.0,0.0
1.9,0.2,0.0,0.0
1.9,0.3,0.0,0.0
1.9,0.4,0.0,0.0
1.9,0.5,0.0,0.0
1.9,0.6,0.0,0.0
1.9,0.7,0.0,0.0
1.9,0.8,0.0,0.0
1.9,0.9,0.0,0.0
1.9,1.0,0.0,0.0
2.0,0.0,0.0,0.0
2.0,0.1,0.0,0.0
2.0,0.2,0.0,0.0
2.0,0.3,0.0,0.0
2.0,0.4,0.0,0.0
2.0,0.5,0.0,0.0
2.0,0.6,0.0,0.0
2.0,0.7,0.0,0.0
2.0,0.8,0.0,0.0
2.0,0.9,0.0,0.0
2.0,1.0,0.0,0.0
