b,theta,rho_mean,rho_std
1.0,0.0,0.6,0.49236596391733095
1.0,0.1,0.6,0.49236596391733095
1.0,0.2,0.6,0.49236596391733095
1.0,0.3,0.6,0.49236596391733095
1.0,0.4,0.6,0.49236596391733095
1.0,0.5,0.6,0.49236596391733095
1.0,0.6,0.6,0.49236596391733095
1.0,0.7,0.6,0.49236596391733095
1.0,0.8,0.6,0.49236596391733095
1.0,0.9,0.6,0.49236596391733095
1.0,1.0,0.6,0.49236596391733095
1.1,0.0,0.3442763157894737,0.46318895547188726
1.1,0.1,0.30627894736842104,0.4484582341699681
1.1,0.2,0.2698473684210526,0.4255156808444384
1.1,0.3,0.2584947368421052,0.41490095455777365
1.1,0.4,0.20692368421052634,0.35398331637905467
1.1,0.5,0.19961052631578952,0.3369148115645051
1.1,0.6,0.1815,0.3137583392478203
1.1,0.7,0.1825263157894737,0.31526706745221045
1.1,0.8,0.1825263157894737,0.31526706745221045
1.1,0.9,0.1825263157894737,0.31526706745221045
1.1,1.0,0.1825263157894737,0.31526706745221045
1.2,0.0,0.18549736842105266,0.3610116174260348
1.2,0.1,0.19440263157894738,0.365159294569091
1.2,0.2,0.18738157894736843,0.3619741132263701
1.2,0.3,0.18027105263157892,0.3448213702876234
1.2,0.4,0.14588947368421054,0.2944287278869759
1.2,0.5,0.11831315789473687,0.24679052956239367
1.2,0.6,0.1100342105263158,0.22284478216354814
1.2,0.7,0.11115000000000003,0.22545380537816442
1.2,0.8,0.11115000000000003,0.22545380537816442
1.2,0.9,0.11755263157894738,0.2312814425216317
1.2,1.0,0.11755263157894738,0.2312814425216317
1.3,0.0,0.1692657894736842,0.3494204674974415
1.3,0.1,0.1602657894736842,0.33961353542580786
1.3,0.2,0.16393421052631582,0.3406923659161885
1.3,0.3,0.1608973684210526,0.33649650227741873
1.3,0.4,0.12791315789473687,0.2733749306920995
1.3,0.5,0.0933736842105263,0.19404747221322194
1.3,0.6,0.09075526315789474,0.18787136164998242
1.3,0.7,0.08664999999999999,0.17604662520577194
1.3,0.8,0.08494736842105263,0.17518982761226867
1.3,0.9,0.08494736842105263,0.17518982761226867
1.3,1.0,0.08494736842105263,0.17518982761226867
1.4,0.0,0.1463578947368421,0.32677839249020646
1.4,0.1,0.15852105263157895,0.336805621653603
1.4,0.2,0.1613894736842105,0.34269010468434713
1.4,0.3,0.14725789473684212,0.3174680097009288
1.4,0.4,0.08722894736842106,0.21462576824902838
1.4,0.5,0.06707894736842106,0.15116517016561565
1.4,0.6,0.06701052631578946,0.14321601808156129
1.4,0.7,0.054413157894736844,0.11377351828472074
1.4,0.8,0.05317631578947369,0.11271214739107185
1.4,0.9,0.05317631578947369,0.11271214739107185
1.4,1.0,0.05317631578947369,0.11271214739107185
1.5,0.0,0.13478684210526315,0.30922395074187736
1.5,0.1,0.12037368421052631,0.29810815196933604
1.5,0.2,0.11916842105263158,0.30252065951500257
1.5,0.3,0.10492894736842105,0.27669087439187356
1.5,0.4,0.061578947368421046,0.19428037511289045
1.5,0.5,0.03363684210526316,0.10190719826722446
1.5,0.6,0.035410526315789476,0.11255733913442355
