b,theta,rho_mean,rho_std
1.0,0.0,0.9977971,0.008083899860809577
1.0,0.1,0.9977971,0.008083899860809577
1.0,0.2,0.9977971,0.008083899860809577
1.0,0.3,0.9977971,0.008083899860809577
1.0,0.4,0.9977971,0.008083899860809577
1.0,0.5,0.9977971,0.008083899860809577
1.0,0.6,0.9977971,0.008083899860809577
1.0,0.7,0.9977971,0.008083899860809577
1.0,0.8,0.9977971,0.008083899860809577
1.0,0.9,0.9977971,0.008083899860809577
1.0,1.0,0.9977971,0.008083899860809577
1.1,0.0,0.9965485,0.010096896850523104
1.1,0.1,0.9965478999999999,0.010096691456796121
1.1,0.2,0.9962553,0.010414608956032544
1.1,0.3,0.9967447999999999,0.010266558488214141
1.1,0.4,0.9961982,0.011198859283539945
1.1,0.5,0.9961912999999999,0.011219288014194927
1.1,0.6,0.9961912999999999,0.011219288014194927
1.1,0.7,0.9961912999999999,0.011219288014194927
1.1,0.8,0.9961912999999999,0.011219288014194927
1.1,0.9,0.9961912999999999,0.011219288014194927
1.1,1.0,0.9961912999999999,0.011219288014194927
1.2,0.0,0.9931646999999999,0.013718255731438124
1.2,0.1,0.9935111999999999,0.013443454738761712
1.2,0.2,0.9934803999999999,0.01350375121246258
1.2,0.3,0.9937119,0.013340636461654454
1.2,0.4,0.9923132999999998,0.015372418371087996
1.2,0.5,0.9923093000000001,0.015372136951463562
1.2,0.6,0.9923093000000001,0.015372136951463562
1.2,0.7,0.9923093000000001,0.015372136951463562
1.2,0.8,0.9923093000000001,0.015372136951463562
1.2,0.9,0.9923093000000001,0.015372136951463562
1.2,1.0,0.9923093000000001,0.015372136951463562
1.3,0.0,0.9912382,0.015140219990929555
1.3,0.1,0.9912382,0.015140219990929555
1.3,0.2,0.9912371999999999,0.015115154752496737
1.3,0.3,0.9916257999999999,0.015462302034368144
1.3,0.4,0.9903338999999997,0.017666527666405835
1.3,0.5,0.9903311999999999,0.01766959862920422
1.3,0.6,0.9903311999999999,0.01766959862920422
1.3,0.7,0.9903311999999999,0.01766959862920422
1.3,0.8,0.9903311999999999,0.01766959862920422
1.3,0.9,0.9903311999999999,0.01766959862920422
1.3,1.0,0.9903311999999999,0.01766959862920422
1.4,0.0,0.9891418999999998,0.016366160005426986
1.4,0.1,0.9891418999999998,0.016366160005426986
1.4,0.2,0.9891383999999998,0.016371809950354012
1.4,0.3,0.9872703999999999,0.0183703473142031
1.4,0.4,0.9835084999999999,0.022276809855166377
1.4,0.5,0.9840298999999999,0.022077703936347545
1.4,0.6,0.9841883999999999,0.02216401495736521
1.4,0.7,0.9836997999999998,0.02251164650225368
1.4,0.8,0.9836997999999998,0.02251164650225368
1.4,0.9,0.9836997999999998,0.02251164650225368
1.4,1.0,0.9836997999999998,0.02251164650225368
1.5,0.0,0.9863141999999998,0.01745088201759226
1.5,0.1,0.9866359999999997,0.01740303735245417
1.5,0.2,0.9870529999999998,0.017332972286449713
1.5,0.3,0.9811186999999998,0.02315203779040814
1.5,0.4,0.9746147000000001,0.028249319164227984
1.5,0.5,0.9745132,0.028489566648834418
1.5,0.6,0.9737827,0.02858613158332173
1.5,0.7,0.9737733,0.02857993228480492
1.5,0.8,0.9737733,0.02857993228480492
1.5,0.9,0.9737733,0.02857993228480492
1.5,1.0,0.9737733,0.02857993228480492
1.6,0.0,0.9847003999999998,0.017801743923196833
1.6,0.1,0.9846068999999998,0.017984427084721425
1.6,0.2,0.9850749999999998,0.017947198903585298
1.6,0.3,0.9607800999999998,0.03420875071151258
1.6,0.4,0.9405440999999998,0.03571296491217387
1.6,0.5,0.9406103999999997,0.03574950792682442
1.6,0.6,0.9409075999999997,0.03554620140867151
1.6,0.7,0.9401374999999997,0.03551352499151857
1.6,0.8,0.9401374999999997,0.03551352499151857
1.6,0.9,0.9400458999999998,0.03540741119975688
1.6,1.0,0.9400458999999998,0.03540741119975688
1.7,0.0,0.9826939999999996,0.01952558539067366
1.7,0.1,0.9825745999999996,0.019566935954989748
1.7,0.2,0.9825020999999997,0.019530503068044935
1.7,0.3,0.9228714999999998,0.05740858717618513
1.7,0.4,0.8886875000000002,0.04045168045041677
1.7,0.5,0.8908039000000001,0.040742978521185476
1.7,0.6,0.8916541000000001,0.03992533736649306
1.7,0.7,0.8914307000000001,0.0399843138752025
1.7,0.8,0.8914307000000001,0.0399843138752025
1.7,0.9,0.8914307000000001,0.0399843138752025
1.7,1.0,0.8914307000000001,0.0399843138752025
1.8,0.0,0.9810553999999999,0.01923969068925455
1.8,0.1,0.9804225999999998,0.019256944155868254
1.8,0.2,0.9803715999999999,0.019391049727525318
1.8,0.3,0.8738341999999999,0.07133001993409208
1.8,0.4,0.8244691000000001,0.040105406801793836
1.8,0.5,0.8219341,0.03985529786450832
1.8,0.6,0.8197555000000001,0.04223392799024076
1.8,0.7,0.8207536000000002,0.04076273522310149
1.8,0.8,0.8213598000000002,0.04062073314916595
1.8,0.9,0.8213598000000002,0.04062073314916595
1.8,1.0,0.8213598000000002,0.04062073314916595
1.9,0.0,0.9757798999999997,0.03212311447895867
1.9,0.1,0.9753866999999998,0.032027189460793734
1.9,0.2,0.9719222999999999,0.04066881551339583
1.9,0.3,0.8056962999999999,0.0928554399297938
1.9,0.4,0.7583637999999998,0.057262680211548796
1.9,0.5,0.7602433999999998,0.056128855921986444
1.9,0.6,0.7616080999999998,0.047034167801694796
1.9,0.7,0.7594433999999999,0.048277194968015705
1.9,0.8,0.7589440999999999,0.048057891122913636
1.9,0.9,0.7591212,0.04821209329576553
1.9,1.0,0.7591212,0.04821209329576553
2.0,0.0,0.9722756999999999,0.03061032882571152
2.0,0.1,0.9723263999999999,0.030699125724398542
2.0,0.2,0.9702646999999998,0.039479240202665994
2.0,0.3,0.6812013,0.13525256242950615
2.0,0.4,0.6220392,0.04173503452046307
2.0,0.5,0.620955,0.04007246777698343
2.0,0.6,0.6198212000000001,0.03921513002385533
2.0,0.7,0.6196689000000001,0.03917910894297697
2.0,0.8,0.6194444,0.039101366746631075
2.0,0.9,0.6194444,0.039101366746631075
2.0,1.0,0.6194444,0.039101366746631075
