z,regime,b,theta,L,condition,r_k,rho_mean,rho_std,seconds
4,coop,1.4,0.4,1,corr,1.0,0.9652056999999999,0.08700309855453948,3.0245020389556885
4,coop,1.4,0.4,1,uncorr,0.5682395207759345,0.9626533,0.08915174032026137,2.805274724960327
4,coop,1.4,0.4,1,uncorr_shuffled,-0.03098012275744569,0.9653562000000001,0.08612972239804118,2.850289821624756
4,coop,1.4,0.4,4,corr,1.0,0.9986487,0.013513000000000018,20.73827290534973
4,coop,1.4,0.4,4,uncorr,0.5682395207759345,0.9755735,0.07402656654399777,21.647792100906372
4,coop,1.4,0.4,4,uncorr_shuffled,-0.03098012275744569,0.9791428000000001,0.06697639412403884,21.855968952178955
4,defect,2.0,0.7,1,corr,1.0,0.5827585999999999,0.05441822065663619,4.047773361206055
4,defect,2.0,0.7,1,uncorr,0.5682395207759345,0.5849382,0.05633936450375411,4.054734230041504
4,defect,2.0,0.7,1,uncorr_shuffled,-0.03098012275744569,0.5806118000000001,0.05629413790425998,3.937546968460083
4,defect,2.0,0.7,4,corr,1.0,0.5869532,0.046232732640785396,31.175590753555298
4,defect,2.0,0.7,4,uncorr,0.5682395207759345,0.5902704000000001,0.04298984394792181,36.072800159454346
4,defect,2.0,0.7,4,uncorr_shuffled,-0.03098012275744569,0.5754737999999999,0.07828854360736069,31.556509017944336
4,bistable,2.0,0.5,1,corr,1.0,0.5846908,0.05169143823915451,4.041857004165649
4,bistable,2.0,0.5,1,uncorr,0.5682395207759345,0.5847498,0.0559969695424618,4.023630142211914
4,bistable,2.0,0.5,1,uncorr_shuffled,-0.03098012275744569,0.5788301,0.05546274187554684,3.934108018875122
4,bistable,2.0,0.5,4,corr,1.0,0.7505185,0.20776176853647554,27.175022840499878
4,bistable,2.0,0.5,4,uncorr,0.5682395207759345,0.59724,0.08508036692659264,30.824761152267456
4,bistable,2.0,0.5,4,uncorr_shuffled,-0.03098012275744569,0.5767095000000001,0.08010706545686914,31.12748908996582
16,coop,1.0,0.0,1,corr,1.0,0.9788332,0.10320186478308942,3.2482001781463623
16,coop,1.0,0.0,1,uncorr,0.8660903729826678,0.9788332,0.10320186478308942,3.2186477184295654
16,coop,1.0,0.0,1,uncorr_shuffled,0.010092710455268576,0.9788332,0.10320186478308942,3.246948003768921
16,coop,1.0,0.0,4,corr,1.0,0.9788332,0.10320186478308942,35.09248399734497
16,coop,1.0,0.0,4,uncorr,0.8660903729826678,0.9788332,0.10320186478308942,34.575488805770874
16,coop,1.0,0.0,4,uncorr_shuffled,0.010092710455268576,0.9788332,0.10320186478308942,34.31794095039368
16,defect,2.0,0.6,1,corr,1.0,0.0025061999999999997,0.01108580927277405,3.2120590209960938
16,defect,2.0,0.6,1,uncorr,0.8660903729826678,0.0026677999999999993,0.011166397697348663,3.1960771083831787
16,defect,2.0,0.6,1,uncorr_shuffled,0.010092710455268576,0.0034111999999999988,0.012168429949436508,3.213681936264038
16,defect,2.0,0.6,4,corr,1.0,0.0032495999999999988,0.012104549184066908,29.440318822860718
16,defect,2.0,0.6,4,uncorr,0.8660903729826678,0.0021179999999999992,0.010463568640137488,29.627487897872925
16,defect,2.0,0.6,4,uncorr_shuffled,0.010092710455268576,0.002254999999999999,0.010812243574351765,29.593024015426636
16,transition,1.7,0.2,1,corr,1.0,0.10463160000000002,0.2523619650411574,3.5999820232391357
16,transition,1.7,0.2,1,uncorr,0.8660903729826678,0.0742594,0.19596079265047386,3.6841840744018555
16,transition,1.7,0.2,1,uncorr_shuffled,0.010092710455268576,0.0458812,0.10624465616774342,3.830455780029297
16,transition,1.7,0.2,4,corr,1.0,0.4720948,0.49041923621062633,33.79695200920105
16,transition,1.7,0.2,4,uncorr,0.8660903729826678,0.37382999999999994,0.4731596450512771,35.15772485733032
16,transition,1.7,0.2,4,uncorr_shuffled,0.010092710455268576,0.37383229999999995,0.4728299542948765,35.32977104187012
16,bistable,1.8,0.1,1,corr,1.0,0.10564079999999999,0.28410767012098737,3.4487080574035645
16,bistable,1.8,0.1,1,uncorr,0.8660903729826678,0.0637611,0.21771923006289964,3.5013349056243896
16,bistable,1.8,0.1,1,uncorr_shuffled,0.010092710455268576,0.0343671,0.14170319271935475,3.668752908706665
16,bistable,1.8,0.1,4,corr,1.0,0.47612750000000004,0.49622415056177754,32.416436195373535
16,bistable,1.8,0.1,4,uncorr,0.8660903729826678,0.3720002,0.47409942915512154,31.843440055847168
16,bistable,1.8,0.1,4,uncorr_shuffled,0.010092710455268576,0.34030699999999997,0.46603517555171214,31.52666926383972
