z,regime,L,condition,r_k,rho_mean,rho_std
4,bistable,1,corr,1.0,0.5846908,0.05169143823915451
4,bistable,1,uncorr,0.5682395207759345,0.5847498,0.0559969695424618
4,bistable,1,uncorr_shuffled,-0.03098012275744569,0.5788301,0.05546274187554684
4,bistable,4,corr,1.0,0.7505185,0.20776176853647554
4,bistable,4,uncorr,0.5682395207759345,0.59724,0.08508036692659264
4,bistable,4,uncorr_shuffled,-0.03098012275744569,0.5767095000000001,0.08010706545686914
4,coop,1,corr,1.0,0.9652056999999999,0.08700309855453948
4,coop,1,uncorr,0.5682395207759345,0.9626533,0.08915174032026137
4,coop,1,uncorr_shuffled,-0.03098012275744569,0.9653562000000001,0.08612972239804118
4,coop,4,corr,1.0,0.9986487,0.013513000000000018
4,coop,4,uncorr,0.5682395207759345,0.9755735,0.07402656654399777
4,coop,4,uncorr_shuffled,-0.03098012275744569,0.9791428000000001,0.06697639412403884
4,defect,1,corr,1.0,0.5827585999999999,0.05441822065663619
4,defect,1,uncorr,0.5682395207759345,0.5849382,0.05633936450375411
4,defect,1,uncorr_shuffled,-0.03098012275744569,0.5806118000000001,0.05629413790425998
4,defect,4,corr,1.0,0.5869532,0.046232732640785396
4,defect,4,uncorr,0.5682395207759345,0.5902704000000001,0.04298984394792181
4,defect,4,uncorr_shuffled,-0.03098012275744569,0.5754737999999999,0.07828854360736069
16,bistable,1,corr,1.0,0.10564079999999999,0.28410767012098737
16,bistable,1,uncorr,0.8660903729826678,0.0637611,0.21771923006289964
16,bistable,1,uncorr_shuffled,0.010092710455268576,0.0343671,0.14170319271935475
16,bistable,4,corr,1.0,0.47612750000000004,0.49622415056177754
16,bistable,4,uncorr,0.8660903729826678,0.3720002,0.47409942915512154
16,bistable,4,uncorr_shuffled,0.010092710455268576,0.34030699999999997,0.46603517555171214
16,coop,1,corr,1.0,0.9788332,0.10320186478308942
16,coop,1,uncorr,0.8660903729826678,0.9788332,0.10320186478308942
16,coop,1,uncorr_shuffled,0.010092710455268576,0.9788332,0.10320186478308942
16,coop,4,corr,1.0,0.9788332,0.10320186478308942
16,coop,4,uncorr,0.8660903729826678,0.9788332,0.10320186478308942
16,coop,4,uncorr_shuffled,0.010092710455268576,0.9788332,0.10320186478308942
16,defect,1,corr,1.0,0.0025061999999999997,0.01108580927277405
16,defect,1,uncorr,0.8660903729826678,0.0026677999999999993,0.011166397697348663
16,defect,1,uncorr_shuffled,0.010092710455268576,0.0034111999999999988,0.012168429949436508
16,defect,4,corr,1.0,0.0032495999999999988,0.012104549184066908
16,defect,4,uncorr,0.8660903729826678,0.0021179999999999992,0.010463568640137488
16,defect,4,uncorr_shuffled,0.010092710455268576,0.002254999999999999,0.010812243574351765
16,transition,1,corr,1.0,0.10463160000000002,0.2523619650411574
16,transition,1,uncorr,0.8660903729826678,0.0742594,0.19596079265047386
16,transition,1,uncorr_shuffled,0.010092710455268576,0.0458812,0.10624465616774342
16,transition,4,corr,1.0,0.4720948,0.49041923621062633
16,transition,4,uncorr,0.8660903729826678,0.37382999999999994,0.4731596450512771
16,transition,4,uncorr_shuffled,0.010092710455268576,0.37383229999999995,0.4728299542948765
