topo,z,regime,b,theta,L,net_realization,rho_mean,rho_std,seconds
BA,4,coop,1.4,0.4,1,0,0.9661162999999999,0.08471532398860877,2.877653121948242
BA,4,coop,1.4,0.4,4,0,0.9978072,0.015470358433488453,19.473750829696655
BA,4,coop,1.4,0.4,1,1,0.9998294999999999,0.0009131446111148927,2.450709104537964
BA,4,coop,1.4,0.4,4,1,1.0,0.0,19.775681972503662
BA,4,coop,1.4,0.4,1,2,0.9672571000000001,0.09183076547358537,2.6953210830688477
BA,4,coop,1.4,0.4,4,2,0.9866872,0.07341476496804394,22.006657123565674
BA,4,coop,1.4,0.4,1,3,0.9851879,0.07836920674762841,2.6666619777679443
BA,4,coop,1.4,0.4,4,3,0.9979442000000001,0.02055800000000003,19.1845281124115
BA,4,coop,1.4,0.4,1,4,0.9990566000000001,0.0037588659422381093,2.3597497940063477
BA,4,coop,1.4,0.4,4,4,1.0,0.0,19.117146253585815
BA,4,coop,1.4,0.4,1,5,0.8987739,0.16386981598728628,3.0998570919036865
BA,4,coop,1.4,0.4,4,5,0.9890852000000001,0.04941163459442451,21.853933095932007
BA,4,coop,1.4,0.4,1,6,0.9963064999999999,0.007368160190709869,2.322175979614258
BA,4,coop,1.4,0.4,4,6,0.9999223,0.0007770000000000053,19.599263906478882
BA,4,coop,1.4,0.4,1,7,0.9996533000000001,0.0018614445650319699,2.257631301879883
BA,4,coop,1.4,0.4,4,7,1.0,0.0,18.99234175682068
BA,4,coop,1.4,0.4,1,8,0.999879,0.0012099999999999895,2.2471489906311035
BA,4,coop,1.4,0.4,4,8,1.0,0.0,18.244324207305908
BA,4,coop,1.4,0.4,1,9,0.9382364,0.06668500856044832,2.477468967437744
BA,4,coop,1.4,0.4,4,9,0.9865093999999998,0.02570697141699787,19.72001314163208
BA,4,defect,2.0,0.7,1,0,0.5699809,0.06586245511770203,3.6707587242126465
BA,4,defect,2.0,0.7,4,0,0.5675243000000001,0.06641312769180564,27.843089818954468
BA,4,defect,2.0,0.7,1,1,0.6173625,0.038060057601059426,4.459337949752808
BA,4,defect,2.0,0.7,4,1,0.6131973000000002,0.04028876711023343,33.091618061065674
BA,4,defect,2.0,0.7,1,2,0.5658491999999999,0.050893323046021156,4.259857177734375
