topo,z,b,theta,L,net_realization,rho_mean,rho_std,seconds
BA,4,1.8,0.3,1,0,0.8203549999999998,0.13164578520848247,0.9430718421936035
BA,4,1.8,0.3,2,0,0.9627009999999998,0.06683351994636413,0.8173379898071289
BA,4,1.8,0.3,3,0,1.0,0.0,1.7938339710235596
BA,4,1.8,0.3,4,0,1.0,0.0,4.002600908279419
BA,4,2.0,0.3,1,0,0.6446479999999999,0.15503959879911158,0.8130979537963867
BA,4,2.0,0.3,2,0,0.9227705,0.109217395350307,0.9420278072357178
BA,4,2.0,0.3,3,0,1.0,0.0,1.773615837097168
BA,4,2.0,0.3,4,0,1.0,0.0,4.003593921661377
BA,4,1.8,0.3,1,1,0.9034355,0.07472645078621942,0.6629528999328613
BA,4,1.8,0.3,2,1,1.0,0.0,0.7335071563720703
BA,4,1.8,0.3,3,1,1.0,0.0,1.812718152999878
BA,4,1.8,0.3,4,1,1.0,0.0,3.9794468879699707
BA,4,2.0,0.3,1,1,0.7114315,0.17361053885894925,0.8383989334106445
BA,4,2.0,0.3,2,1,1.0,0.0,0.743527889251709
BA,4,2.0,0.3,3,1,1.0,0.0,1.8222198486328125
BA,4,2.0,0.3,4,1,1.0,0.0,3.938685178756714
BA,4,1.8,0.3,1,2,0.8309960000000002,0.10891505045096776,0.9089667797088623
BA,4,1.8,0.3,2,2,0.9256754999999999,0.16440389659471674,0.9190783500671387
BA,4,1.8,0.3,3,2,0.976634,0.1044959287245202,2.300853967666626
BA,4,1.8,0.3,4,2,0.9538665,0.14202419520612453,4.659182071685791
BA,4,2.0,0.3,1,2,0.6390699999999999,0.13875782329770026,0.8829810619354248
BA,4,2.0,0.3,2,2,0.9368244999999998,0.1305189413346019,0.9617469310760498
BA,4,2.0,0.3,3,2,0.914922,0.20061757299845268,2.079899311065674
BA,4,2.0,0.3,4,2,0.9483125000000001,0.15962888614978507,5.064239978790283
BA,4,1.8,0.3,1,3,0.8818865000000002,0.09082786595794089,0.6746821403503418
BA,4,1.8,0.3,2,3,0.9931455,0.03065425590354466,0.7426760196685791
BA,4,1.8,0.3,3,3,1.0,0.0,1.7252349853515625
BA,4,1.8,0.3,4,3,1.0,0.0,3.8322861194610596
BA,4,2.0,0.3,1,3,0.7111004999999999,0.14554000338033302,0.8040430545806885
BA,4,2.0,0.3,2,3,0.9290560000000001,0.146120255463923,0.7888288497924805
BA,4,2.0,0.3,3,3,1.0,0.0,1.7686951160430908
BA,4,2.0,0.3,4,3,1.0,0.0,3.8791990280151367
BA,4,1.8,0.3,1,4,0.8724400000000001,0.17815787386768128,0.6614408493041992
BA,4,1.8,0.3,2,4,0.9725794999999999,0.12262820395406591,0.7047262191772461
BA,4,1.8,0.3,3,4,1.0,0.0,1.7481310367584229
BA,4,1.8,0.3,4,4,1.0,0.0,3.939703941345215
BA,4,2.0,0.3,1,4,0.7230179999999999,0.19785838693368543,0.6260311603546143
BA,4,2.0,0.3,2,4,1.0,0.0,0.7170052528381348
BA,4,2.0,0.3,3,4,1.0,0.0,1.755025863647461
BA,4,2.0,0.3,4,4,1.0,0.0,3.8507890701293945
BA,4,1.8,0.3,1,5,0.6946809999999999,0.2378815272777607,0.7454416751861572
BA,4,1.8,0.3,2,5,0.9229885,0.10793837180612789,0.8372259140014648
BA,4,1.8,0.3,3,5,1.0,0.0,1.924905776977539
BA,4,1.8,0.3,4,5,0.9913690000000001,0.03859900542760137,4.62757420539856
BA,4,2.0,0.3,1,5,0.6253145000000001,0.20720000572736733,0.7438070774078369
BA,4,2.0,0.3,2,5,0.8927435000000001,0.12263470850134772,0.9183881282806396
BA,4,2.0,0.3,3,5,0.981461,0.05765708774616021,1.9759442806243896
BA,4,2.0,0.3,4,5,0.9820914999999999,0.05515259570882455,4.496886968612671
BA,4,1.8,0.3,1,6,0.8959254999999999,0.11161484448881855,0.5252799987792969
BA,4,1.8,0.3,2,6,0.9995725,0.001911838120762308,0.762505054473877
BA,4,1.8,0.3,3,6,1.0,0.0,1.8107550144195557
BA,4,1.8,0.3,4,6,1.0,0.0,3.965047836303711
BA,4,2.0,0.3,1,6,0.7340705000000001,0.19395743397579185,0.5871632099151611
BA,4,2.0,0.3,2,6,0.9993145,0.002195870466412584,0.7533679008483887
BA,4,2.0,0.3,3,6,1.0,0.0,1.8258638381958008
BA,4,2.0,0.3,4,6,1.0,0.0,3.927338123321533
