topo,z,corr,L,regime,b,theta,net_realization,rho_mean,rho_std,seconds
BA,4,corr,1,coop,1.0,0.0,0,0.9978172,0.015403027977274,2.8446006774902344
BA,4,corr,1,coop,1.0,0.0,1,1.0,0.0,2.537987232208252
BA,4,corr,1,coop,1.0,0.0,2,0.9923463,0.053850985578612,2.77474594116211
BA,4,corr,1,coop,1.0,0.0,3,1.0,0.0,2.578904151916504
BA,4,corr,1,coop,1.0,0.0,4,1.0,0.0,2.5184829235076904
BA,4,corr,1,coop,1.0,0.0,5,0.9829079,0.054728298910217,2.781867027282715
BA,4,corr,1,coop,1.0,0.0,6,1.0,0.0,2.5580930709838867
BA,4,corr,1,coop,1.0,0.0,7,1.0,0.0,2.484989881515503
BA,4,corr,1,coop,1.0,0.0,8,1.0,0.0,2.524721145629883
BA,4,corr,1,coop,1.0,0.0,9,0.9891212,0.0209951704537934,2.6123781204223633
BA,4,corr,1,defect,2.0,0.8,0,0.5699809,0.065862455117702,3.9609367847442623
BA,4,corr,1,defect,2.0,0.8,1,0.6173729000000001,0.0380485136437016,4.777168273925781
BA,4,corr,1,defect,2.0,0.8,2,0.5658491999999999,0.0508933230460211,4.627897262573242
BA,4,corr,1,defect,2.0,0.8,3,0.6227994,0.0710689794498303,4.2766008377075195
BA,4,corr,1,defect,2.0,0.8,4,0.5872599999999999,0.0375177440040244,4.115900039672852
BA,4,corr,1,defect,2.0,0.8,5,0.5310118,0.1012389866251578,4.207756042480469
BA,4,corr,1,defect,2.0,0.8,6,0.5818892,0.0206279484176006,3.9386589527130127
BA,4,corr,1,defect,2.0,0.8,7,0.6527388000000001,0.0289195538783926,4.086982011795044
BA,4,corr,1,defect,2.0,0.8,8,0.5889274999999999,0.0220348038465414,4.453639984130859
BA,4,corr,1,defect,2.0,0.8,9,0.6361397000000001,0.0611556206598619,3.725867986679077
BA,4,corr,1,bistable,2.0,0.3,0,0.6294080999999999,0.1327672226549348,4.092996835708618
BA,4,corr,1,bistable,2.0,0.3,1,0.7238694,0.1760245817017405,4.098551988601685
BA,4,corr,1,bistable,2.0,0.3,2,0.6368446999999999,0.1540147279750947,4.542019844055176
BA,4,corr,1,bistable,2.0,0.3,3,0.6904604000000001,0.1506173999896304,4.313388109207153
BA,4,corr,1,bistable,2.0,0.3,4,0.6980578,0.1813548415529816,3.8236920833587646
BA,4,corr,1,bistable,2.0,0.3,5,0.6251296000000001,0.2062231923976221,4.400201320648193
BA,4,corr,1,bistable,2.0,0.3,6,0.6731324999999999,0.1658463568839142,3.6161019802093506
BA,4,corr,1,bistable,2.0,0.3,7,0.735207,0.1400026929647202,3.776199340820313
BA,4,corr,1,bistable,2.0,0.3,8,0.7175573999999999,0.1863716426907063,3.502139091491699
BA,4,corr,1,bistable,2.0,0.3,9,0.7061918999999997,0.138061604626743,3.391662836074829
BA,4,corr,4,coop,1.4,0.4,0,0.9978072,0.0154703584334884,20.273671865463257
BA,4,corr,4,coop,1.4,0.4,1,1.0,0.0,20.676709175109863
BA,4,corr,4,coop,1.4,0.4,2,0.9866872,0.0734147649680439,22.8627450466156
BA,4,corr,4,coop,1.4,0.4,3,0.9979442,0.020558,20.124263048171997
BA,4,corr,4,coop,1.4,0.4,4,1.0,0.0,20.12377119064331
BA,4,corr,4,coop,1.4,0.4,5,0.9890852,0.0494116345944245,22.911016941070557
BA,4,corr,2,coop,1.0,0.0,0,0.9978172,0.015403027977274,3.6694860458374023
BA,4,corr,2,coop,1.0,0.0,1,1.0,0.0,3.513225793838501
BA,4,corr,2,coop,1.0,0.0,2,0.9923463,0.053850985578612,3.9268600940704346
BA,4,corr,2,coop,1.0,0.0,3,1.0,0.0,3.4699580669403076
BA,4,corr,2,coop,1.0,0.0,4,1.0,0.0,3.4099788665771484
BA,4,corr,2,coop,1.0,0.0,5,0.9829079,0.054728298910217,3.734570026397705
BA,4,corr,2,coop,1.0,0.0,6,1.0,0.0,4.815969944000244
BA,4,corr,2,coop,1.0,0.0,7,1.0,0.0,4.09478235244751
BA,4,corr,2,coop,1.0,0.0,8,1.0,0.0,3.3977198600769043
BA,4,corr,2,coop,1.0,0.0,9,0.9891211999999999,0.020995170453793472,3.470327138900757
BA,4,corr,2,defect,2.0,0.6,0,0.5672502,0.06677131739169316,5.074800252914429
BA,4,corr,2,defect,2.0,0.6,1,0.6148959000000002,0.03920641743220985,5.897399187088013
BA,4,corr,2,defect,2.0,0.6,2,0.5555176000000001,0.07394237680187939,6.063010215759277
BA,4,corr,2,defect,2.0,0.6,3,0.608355,0.11288029491814805,5.596374988555908
BA,4,corr,2,defect,2.0,0.6,4,0.5893875999999999,0.03648515096099321,5.35529088973999
BA,4,corr,2,defect,2.0,0.6,5,0.5370026000000001,0.09714466436914554,5.510425090789795
BA,4,corr,2,defect,2.0,0.6,6,0.581554,0.022066315157870487,4.796467065811157
BA,4,corr,2,defect,2.0,0.6,7,0.6546972000000001,0.02865789957834357,5.187680959701538
BA,4,corr,2,defect,2.0,0.6,8,0.5903400999999999,0.026420958335833324,4.92445182800293
BA,4,corr,2,defect,2.0,0.6,9,0.6365189000000001,0.06014991449644205,4.634105205535889
BA,4,corr,2,bistable,2.0,0.4,0,0.7976389999999999,0.20206071793979016,4.2971367835998535
BA,4,corr,2,bistable,2.0,0.4,1,0.8525998999999999,0.1869501003454714,4.462456941604614
BA,4,corr,2,bistable,2.0,0.4,2,0.7688336,0.22997928054904984,4.875017881393433
BA,4,corr,2,bistable,2.0,0.4,3,0.7789980000000001,0.19446914831007114,4.652069807052612
BA,4,corr,2,bistable,2.0,0.4,4,0.7916515,0.22358023793868093,4.3086841106414795
BA,4,corr,2,bistable,2.0,0.4,5,0.7464138,0.23091267635750498,4.826095104217529
BA,4,corr,2,bistable,2.0,0.4,6,0.8061515,0.21116577411198323,4.127535820007324
BA,4,corr,2,bistable,2.0,0.4,7,0.8575362,0.17285290722729918,4.1212358474731445
BA,4,corr,2,bistable,2.0,0.4,8,0.8760380999999999,0.19087732863612336,3.706214189529419
BA,4,corr,2,bistable,2.0,0.4,9,0.8295901999999999,0.16227210672250977,4.016240119934082
BA,4,corr,3,coop,1.8,0.3,0,0.9987955,0.012045000000000038,8.657199144363403
BA,4,corr,3,coop,1.8,0.3,1,1.0,0.0,9.198853015899658
BA,4,corr,3,coop,1.8,0.3,2,0.948445,0.1504008211044371,10.906677961349487
BA,4,corr,3,coop,1.8,0.3,3,1.0,0.0,8.755254983901978
BA,4,corr,3,coop,1.8,0.3,4,1.0,0.0,8.905432939529419
BA,4,corr,3,coop,1.8,0.3,5,0.9877562000000001,0.0489027893852341,9.500166893005371
BA,4,corr,3,coop,1.8,0.3,6,1.0,0.0,9.154122114181519
BA,4,corr,3,coop,1.8,0.3,7,1.0,0.0,8.747011661529541
BA,4,corr,3,coop,1.8,0.3,8,1.0,0.0,8.24861216545105
BA,4,corr,3,coop,1.8,0.3,9,0.9885464999999999,0.019572021329934124,9.003405094146729
BA,4,corr,3,defect,2.0,0.7,0,0.5676273000000001,0.06675734628140453,13.075124025344849
BA,4,corr,3,defect,2.0,0.7,1,0.6149922000000001,0.03914203185499411,15.727490901947021
BA,4,corr,3,defect,2.0,0.7,2,0.5527355,0.09329606360177185,16.366803884506226
BA,4,corr,3,defect,2.0,0.7,3,0.610682,0.12942977107452536,14.060152053833008
BA,4,corr,3,defect,2.0,0.7,4,0.5904989999999999,0.035459267298884455,13.635836839675903
BA,4,corr,3,defect,2.0,0.7,5,0.5310165,0.10165192748971233,13.918856859207153
BA,4,corr,3,defect,2.0,0.7,6,0.5817268,0.022617292922706613,12.954699993133545
BA,4,corr,3,defect,2.0,0.7,7,0.6528754000000001,0.02758761138370966,13.546087980270386
BA,4,corr,3,defect,2.0,0.7,8,0.5875628999999999,0.02456912952972664,12.921801805496216
BA,4,corr,3,defect,2.0,0.7,9,0.6377793000000002,0.0585216342324992,11.69705080986023
BA,4,corr,3,bistable,2.0,0.5,0,0.6132694,0.158939872487375,11.714790105819702
BA,4,corr,3,bistable,2.0,0.5,1,0.7028478999999999,0.16252528701647592,14.766273021697998
BA,4,corr,3,bistable,2.0,0.5,2,0.6272372,0.1737972708813869,15.788777351379395
BA,4,corr,3,bistable,2.0,0.5,3,0.6830614000000002,0.15668561908587283,14.08247184753418
BA,4,corr,3,bistable,2.0,0.5,4,0.6624645,0.17297938896532783,14.217456817626953
BA,4,corr,3,bistable,2.0,0.5,5,0.6187323,0.19751324693001832,12.80043888092041
BA,4,corr,3,bistable,2.0,0.5,6,0.6559349999999999,0.16299164155615994,12.197384119033813
BA,4,corr,3,bistable,2.0,0.5,7,0.7060368000000002,0.12670554632874065,12.563724994659424
BA,4,corr,3,bistable,2.0,0.5,8,0.6648662000000001,0.1595261932438328,11.095866203308105
BA,4,corr,3,bistable,2.0,0.5,9,0.7033563999999999,0.14923572820463493,11.513309955596924
BA,4,corr,4,coop,1.4,0.4,6,0.9999223,0.0007770000000000053,20.758020877838135
BA,4,corr,4,coop,1.4,0.4,7,1.0,0.0,20.27434277534485
BA,4,corr,4,coop,1.4,0.4,8,1.0,0.0,19.33794093132019
BA,4,corr,4,coop,1.4,0.4,9,0.9865093999999998,0.02570697141699787,20.8626229763031
BA,4,corr,4,defect,2.0,0.7,0,0.5675243000000001,0.06641312769180564,29.47708797454834
BA,4,corr,4,defect,2.0,0.7,1,0.6131973000000002,0.04028876711023343,35.09934592247009
BA,4,corr,4,defect,2.0,0.7,2,0.5533258999999999,0.09459535158561473,35.8621129989624
BA,4,corr,4,defect,2.0,0.7,3,0.6127138000000001,0.11429949710274055,31.867516040802002
BA,4,corr,4,defect,2.0,0.7,4,0.5874187000000001,0.03669491035235917,31.52577304840088
BA,4,corr,4,defect,2.0,0.7,5,0.5403783,0.09389444188168287,33.20592284202576
BA,4,corr,4,defect,2.0,0.7,6,0.5804228,0.022271239826151094,29.56001877784729
BA,4,corr,4,defect,2.0,0.7,7,0.6540277,0.02784832395642183,31.624598026275635
BA,4,corr,4,defect,2.0,0.7,8,0.5894614,0.025384569122507358,30.543890953063965
BA,4,corr,4,defect,2.0,0.7,9,0.6367135,0.06128775307943055,27.585279941558838
BA,4,corr,4,bistable,2.0,0.5,0,0.7498239000000001,0.2212579778389101,24.69241189956665
BA,4,corr,4,bistable,2.0,0.5,1,0.7883861999999999,0.19034546581179995,28.651818990707397
BA,4,corr,4,bistable,2.0,0.5,2,0.7096111999999999,0.2363757750550781,30.741240739822388
BA,4,corr,4,bistable,2.0,0.5,3,0.7522823,0.19212411059108153,29.60237693786621
BA,4,corr,4,bistable,2.0,0.5,4,0.7311761,0.2156826144770752,28.797176122665405
BA,4,corr,4,bistable,2.0,0.5,5,0.7301928,0.24276844528567595,27.272406101226807
BA,4,corr,4,bistable,2.0,0.5,6,0.717363,0.21265089778861274,26.02388906478882
BA,4,corr,4,bistable,2.0,0.5,7,0.8179964000000001,0.1768722351378719,25.25953507423401
BA,4,corr,4,bistable,2.0,0.5,8,0.7889583000000002,0.20858136283312378,24.222336053848267
BA,4,corr,4,bistable,2.0,0.5,9,0.7702423999999998,0.1811675008545931,25.315011978149414
BA,4,uncorr,1,coop,1.0,0.0,0,0.9978172000000001,0.015403027977274077,2.490102767944336
BA,4,uncorr,1,coop,1.0,0.0,1,1.0,0.0,2.4996979236602783
