topo,z,corr,L,regime,b,theta,between_network_mean,between_network_std,n_realizations,within_network_std,ratio
BA,4,corr,1,bistable,2.0,0.3,0.68358588,0.0406279506922895,10,0.1352525624295061,0.30038581127411074
BA,4,corr,1,coop,1.0,0.0,0.99621926,0.0060634786669773,10,0.0080838998608095,0.7500685029972798
BA,4,corr,1,defect,2.0,0.8,0.59539694,0.0367225510494936,10,0.039101366746631,0.9391628504304813
BA,4,corr,2,bistable,2.0,0.4,0.8105451799999999,0.0421894539411555,10,0.1885609745975335,0.22374435659979544
BA,4,corr,2,coop,1.0,0.0,0.99621926,0.0060634786669773,10,0.0080838998608095,0.7500685029972798
BA,4,corr,2,defect,2.0,0.6,0.5935519100000001,0.0361592562219305,10,0.0420772797566236,0.8593534665519458
BA,4,corr,3,bistable,2.0,0.5,0.6637807099999999,0.0353246033078442,10,0.1452944701948495,0.2431242101676104
BA,4,corr,3,coop,1.8,0.3,0.99235432,0.0161791976154429,10,0.0067805198476253,2.3861293793143665
BA,4,corr,3,defect,2.0,0.7,0.59274969,0.0374993228101359,10,0.0416985636856288,0.8992953112929367
BA,4,corr,4,bistable,2.0,0.5,0.75560326,0.0352118708767433,10,0.1888004949776029,0.18650306441686199
BA,4,corr,4,coop,1.4,0.4,0.99579555,0.0058748665799035,10,0.0073026917487854,0.804479605876918
BA,4,corr,4,defect,2.0,0.7,0.5935183700000001,0.0359367892345265,10,0.0400126220816442,0.8981363221135289
BA,4,uncorr,1,bistable,2.0,0.2,0.7593166100000001,0.0498522467315042,10,0.1884686721896487,0.2645121130865708
BA,4,uncorr,1,coop,1.0,0.0,0.99621926,0.0060634786669773,10,0.0080838998608095,0.7500685029972798
BA,4,uncorr,1,defect,2.0,0.6,0.5947503000000001,0.0378439716808371,10,0.039744845367581,0.9521730763030115
BA,4,uncorr,2,bistable,2.0,0.3,0.73867437,0.0355908105451721,10,0.1830732167067139,0.19440752276827653
BA,4,uncorr,2,coop,1.8,0.1,0.99460997,0.0061073628422403,10,0.0061415596150368,0.9944319073753232
BA,4,uncorr,2,defect,2.0,0.6,0.59526833,0.0368388360829845,10,0.0433456242317538,0.849885928185512
BA,4,uncorr,3,bistable,2.0,0.3,0.83273595,0.035506620003169,10,0.1826870885154794,0.1943575777122337
BA,4,uncorr,3,coop,1.6,0.2,0.99388705,0.0073279584842725,10,0.0068713434764766,1.066452071470314
BA,4,uncorr,3,defect,2.0,0.6,0.59706318,0.0361011021120408,10,0.0416943792447622,0.8658505718507838
BA,4,uncorr,4,bistable,2.0,0.4,0.71557472,0.0357164760862794,10,0.1718614780483386,0.20782130173600397
BA,4,uncorr,4,coop,1.4,0.0,0.99573226,0.0064528864864579,10,0.0079739082967672,0.8092501501520959
BA,4,uncorr,4,defect,2.0,0.6,0.59590091,0.0349208269215266,10,0.04190923312314,0.833249007895714
BA,16,corr,1,bistable,1.6,0.0,0.63924056,0.1406676089738043,10,0.4667893754966532,0.3013513510759262
BA,16,corr,1,coop,1.0,0.0,0.95511798,0.0679407518022349,10,0.0,
BA,16,corr,1,defect,2.0,0.1,0.0040695299999999,0.0039408398171653,10,0.009976492825182,0.39501254461067653
BA,16,corr,1,transition,1.5,0.1,0.46230887,0.0823410861821869,10,0.4291201370275995,0.1918835288237499
BA,16,corr,2,bistable,1.8,0.0,0.47548102,0.1176073151798797,10,0.4849820237232062,0.24249829772453943
BA,16,corr,2,coop,1.0,0.0,0.95511798,0.0679407518022349,10,0.0,
BA,16,corr,2,defect,2.0,0.6,0.00277007,0.0029336270834166,10,0.0085772065447388,0.34202593444786134
BA,16,corr,2,transition,1.5,0.3,0.48773337,0.0533395750197012,10,0.4523290942709632,0.11792205209720306
