topo,z,corr,L,regime,b,theta,between_network_mean,between_network_std,n_realizations
BA,4,corr,1,bistable,2.0,0.3,0.68358588,0.040627950692289555,10
BA,4,corr,1,coop,1.0,0.0,0.9962192599999999,0.006063478666977315,10
BA,4,corr,1,defect,2.0,0.8,0.59539694,0.03672255104949369,10
BA,4,corr,2,bistable,2.0,0.4,0.8105451799999999,0.042189453941155586,10
BA,4,corr,2,coop,1.0,0.0,0.9962192599999999,0.006063478666977315,10
BA,4,corr,2,defect,2.0,0.6,0.5935519100000001,0.03615925622193055,10
BA,4,corr,3,bistable,2.0,0.5,0.6637807099999999,0.035324603307844205,10
BA,4,corr,3,coop,1.8,0.3,0.9923543199999999,0.01617919761544297,10
BA,4,corr,3,defect,2.0,0.7,0.59274969,0.03749932281013595,10
BA,4,corr,4,bistable,2.0,0.5,0.75560326,0.03521187087674336,10
BA,4,corr,4,coop,1.4,0.4,0.9957955500000001,0.005874866579903513,10
BA,4,corr,4,defect,2.0,0.7,0.5935183700000001,0.03593678923452652,10
BA,4,uncorr,1,bistable,2.0,0.2,0.7593166100000001,0.049852246731504284,10
BA,4,uncorr,1,coop,1.0,0.0,0.9962192599999999,0.006063478666977315,10
BA,4,uncorr,1,defect,2.0,0.6,0.5947503000000001,0.0378439716808371,10
BA,4,uncorr,2,bistable,2.0,0.3,0.73867437,0.03559081054517211,10
BA,4,uncorr,2,coop,1.8,0.1,0.99460997,0.006107362842240309,10
BA,4,uncorr,2,defect,2.0,0.6,0.59526833,0.03683883608298452,10
BA,4,uncorr,3,bistable,2.0,0.3,0.83273595,0.03550662000316907,10
BA,4,uncorr,3,coop,1.6,0.2,0.99388705,0.007327958484272567,10
BA,4,uncorr,3,defect,2.0,0.6,0.59706318,0.03610110211204089,10
BA,4,uncorr,4,bistable,2.0,0.4,0.71557472,0.03571647608627945,10
BA,4,uncorr,4,coop,1.4,0.0,0.9957322599999999,0.006452886486457918,10
BA,4,uncorr,4,defect,2.0,0.6,0.59590091,0.034920826921526676,10
BA,16,corr,1,bistable,1.6,0.0,0.63924056,0.1406676089738043,10
BA,16,corr,1,coop,1.0,0.0,0.95511798,0.06794075180223495,10
BA,16,corr,1,defect,2.0,0.1,0.004069529999999931,0.003940839817165287,10
BA,16,corr,1,transition,1.5,0.1,0.46230887000000004,0.0823410861821869,10
BA,16,corr,2,bistable,1.8,0.0,0.47548102,0.11760731517987971,10
BA,16,corr,2,coop,1.0,0.0,0.95511798,0.06794075180223495,10
BA,16,corr,2,defect,2.0,0.6,0.00277006999999995,0.0029336270834166354,10
BA,16,corr,2,transition,1.5,0.3,0.48773336999999994,0.05333957501970122,10
BA,16,corr,3,bistable,1.8,0.1,0.44919541999999996,0.05515072793884055,10
BA,16,corr,3,coop,1.0,0.0,0.95511798,0.06794075180223495,10
BA,16,corr,3,defect,2.0,0.6,0.00276869999999993,0.002844452048774541,10
BA,16,corr,3,transition,1.7,0.2,0.48128559,0.05249152435333306,10
BA,16,corr,4,bistable,1.8,0.1,0.46338515999999996,0.04400364391924328,10
BA,16,corr,4,coop,1.0,0.0,0.95511798,0.06794075180223495,10
BA,16,corr,4,defect,2.0,0.6,0.00277561999999993,0.0025445940007090407,10
BA,16,corr,4,transition,1.7,0.2,0.48282581,0.05145094785330221,10
BA,16,uncorr,1,bistable,1.6,0.0,0.6420616800000001,0.12765853186374274,10
BA,16,uncorr,1,coop,1.0,0.0,0.95511798,0.06794075180223495,10
BA,16,uncorr,1,defect,2.0,0.0,0.00554897999999994,0.00721505249627473,10
BA,16,uncorr,1,transition,1.4,0.4,0.52854628,0.1200095661666167,10
BA,16,uncorr,2,coop,1.0,0.0,0.95511798,0.06794075180223495,10
BA,16,uncorr,2,defect,2.0,0.6,0.00257102999999994,0.002769429604348941,10
BA,16,uncorr,2,transition,1.8,0.0,0.44659851999999994,0.12646217933406725,10
BA,16,uncorr,3,coop,1.0,0.0,0.95511798,0.06794075180223495,10
BA,16,uncorr,3,defect,2.0,0.7,0.0026995699999999402,0.002849710538926132,10
BA,16,uncorr,3,transition,1.7,0.1,0.48228669,0.05334467947391128,10
BA,16,uncorr,4,bistable,1.9,0.0,0.42061199999999993,0.11218311954332129,10
BA,16,uncorr,4,coop,1.0,0.0,0.95511798,0.06794075180223495,10
BA,16,uncorr,4,defect,2.0,0.7,0.00302669999999993,0.003200097166927535,10
BA,16,uncorr,4,transition,1.5,0.4,0.49125856,0.0579669652725144,10
ER,4,corr,1,bistable,1.6,0.2,0.8751409790204592,0.08957856033266338,10
ER,4,corr,1,coop,1.0,0.0,1.0,0.0,10
ER,4,corr,1,defect,1.7,0.4,0.00043032369139046076,0.0007929044237077667,10
ER,4,corr,1,transition,1.3,0.4,0.4068167253745914,0.023347595285675097,10
ER,4,corr,2,bistable,1.9,0.0,0.6822457508053705,0.1567159351628782,10
ER,4,corr,2,coop,1.0,0.0,1.0,0.0,10
ER,4,corr,2,defect,1.7,0.6,0.0004833948486279886,0.0007664413961034611,10
ER,4,corr,2,transition,1.3,0.4,0.5159174466897559,0.04913216523836428,10
ER,4,corr,3,bistable,1.9,0.3,0.6522272349281046,0.13441048847677203,10
ER,4,corr,3,coop,1.4,0.2,1.0,0.0,10
ER,4,corr,3,defect,1.7,0.5,0.0006042783651035882,0.000977445620100754,10
ER,4,corr,3,transition,2.0,0.0,0.6333467694298804,0.14984188795185144,10
ER,4,corr,4,coop,1.0,0.0,1.0,0.0,10
ER,4,corr,4,defect,1.7,0.5,0.0026140413493865615,0.006243201508452071,10
ER,4,corr,4,transition,1.7,0.4,0.6187607141179192,0.09395760048376926,10
ER,4,uncorr,1,bistable,1.3,0.2,0.7849773868361926,0.05664315207364005,10
ER,4,uncorr,1,coop,1.0,0.0,1.0,0.0,10
ER,4,uncorr,1,defect,1.7,0.0,0.0005253039488827207,0.0007591038113309971,10
ER,4,uncorr,1,transition,1.3,0.5,0.40472746435302487,0.022956396260261275,10
ER,4,uncorr,2,bistable,1.5,0.0,0.863926386816814,0.07264371857931885,10
ER,4,uncorr,2,coop,1.3,0.1,0.9986086570247934,0.004399812808128045,10
ER,4,uncorr,2,defect,1.7,0.0,0.0006416459021694234,0.0008024863920164773,10
ER,4,uncorr,2,transition,1.3,0.6,0.4057040760028959,0.024648932591707976,10
ER,4,uncorr,3,bistable,1.5,0.1,0.46165582239287684,0.08425791976523138,10
ER,4,uncorr,3,coop,1.2,0.1,0.9999931370558375,2.1702535007887385e-05,10
ER,4,uncorr,3,defect,1.7,0.1,0.00041103366175869043,0.000653740217361635,10
ER,4,uncorr,3,transition,1.3,0.3,0.44390758014055837,0.028622054166237698,10
ER,4,uncorr,4,bistable,1.5,0.1,0.6709577498417655,0.06309589935049734,10
ER,4,uncorr,4,coop,1.1,0.3,0.9999191272734705,0.00011797734675195087,10
ER,4,uncorr,4,defect,1.7,0.0,0.0048568206184804105,0.00714133777570712,10
ER,4,uncorr,4,transition,1.4,0.2,0.68841354957784,0.08968822381984662,10
ER,16,corr,1,bistable,1.1,0.2,0.79084664,0.048908589567595945,10
ER,16,corr,1,coop,1.1,0.1,0.99858344,0.0013944627425803212,10
ER,16,corr,1,defect,1.4,0.0,0.0017364799999999298,0.001181819180378761,10
ER,16,corr,1,transition,1.1,0.3,0.31418220999999996,0.010201511961191498,10
ER,16,corr,2,coop,1.2,0.0,0.9987049100000001,0.001210109584982601,10
ER,16,corr,2,defect,1.4,0.1,0.0,0.0,10
ER,16,corr,2,transition,1.2,0.3,0.41599248,0.06073388571850517,10
ER,16,corr,3,coop,1.1,0.2,0.9970077500000001,0.0027944424338517413,10
ER,16,corr,3,defect,1.4,0.1,6.173999999998e-05,0.00013037228062569352,10
ER,16,corr,3,transition,1.2,0.4,0.3467094,0.04773165948347773,10
ER,16,corr,4,bistable,1.3,0.2,0.40393636999999993,0.07706336918833676,10
ER,16,corr,4,coop,1.2,0.0,0.99838147,0.0014763861163515637,10
ER,16,corr,4,defect,1.4,0.1,0.00601522999999998,0.0069362688234541675,10
ER,16,corr,4,transition,1.2,0.4,0.60154076,0.07137427931836507,10
ER,16,uncorr,1,coop,1.1,0.0,0.99897977,0.0009401365539703069,10
ER,16,uncorr,1,defect,1.4,0.0,0.00010569999999997999,0.0002530341610665403,10
ER,16,uncorr,1,transition,1.1,0.2,0.4509408,0.04808128375352171,10
ER,16,uncorr,2,coop,1.1,0.1,0.997147,0.0036453400332174635,10
ER,16,uncorr,2,defect,1.4,0.0,2.9839999999990004e-05,9.436236537939283e-05,10
ER,16,uncorr,2,transition,1.2,0.0,0.4756591499999999,0.15332005505508367,10
ER,16,uncorr,3,coop,1.1,0.0,0.99835774,0.0018288174352722013,10
ER,16,uncorr,3,defect,1.4,0.1,6.105999999998001e-05,0.00010719679928882733,10
ER,16,uncorr,3,transition,1.2,0.2,0.53550298,0.08178937027550708,10
ER,16,uncorr,4,coop,1.2,0.0,0.9980548,0.0019281704045257205,10
ER,16,uncorr,4,defect,1.4,0.1,0.001,0.00316227766016838,10
ER,16,uncorr,4,transition,1.2,0.3,0.54529916,0.07571137765105351,10
