topo,z,corr,L,regime,b,theta,orig,realization_mean,realization_std,diff,zscore
BA,4,corr,1,bistable,2.0,0.3,0.6812013,0.6835858799999999,0.04062795069228954,-0.0023845799999998585,-0.058693090824598476
BA,4,corr,1,coop,1.0,0.0,0.9977971,0.9962192599999999,0.0060634786669773125,0.0015778400000000525,0.26022026078746263
BA,4,corr,1,defect,2.0,0.8,0.6194444,0.59539694,0.03672255104949367,0.02404746000000002,0.6548417610636444
BA,4,corr,2,bistable,2.0,0.4,0.8115267999999999,0.8105451799999999,0.04218945394115555,0.0009816200000000164,0.0232669520058057
BA,4,corr,2,coop,1.0,0.0,0.9977971,0.9962192599999999,0.0060634786669773125,0.0015778400000000525,0.26022026078746263
BA,4,corr,2,defect,2.0,0.6,0.618545,0.5935519100000001,0.03615925622193055,0.02499308999999994,0.6911948035270056
BA,4,corr,3,bistable,2.0,0.5,0.6784706999999999,0.66378071,0.035324603307844184,0.01468998999999982,0.41585718237174824
BA,4,corr,3,coop,1.8,0.3,0.9984553,0.9923543199999999,0.016179197615442974,0.006100980000000145,0.37708792147867615
BA,4,corr,3,defect,2.0,0.7,0.6183312999999999,0.59274969,0.03749932281013593,0.02558160999999992,0.6821885858985514
BA,4,corr,4,bistable,2.0,0.5,0.7569204999999998,0.75560326,0.03521187087674336,0.0013172399999997753,0.03740897507578282
BA,4,corr,4,coop,1.4,0.4,0.9981673,0.9957955499999999,0.0058748665799035135,0.002371750000000117,0.4037112958638576
BA,4,corr,4,defect,2.0,0.7,0.6174721,0.5935183700000001,0.03593678923452649,0.023953729999999895,0.6665517568549558
BA,4,uncorr,1,bistable,2.0,0.2,0.7861952,0.75931661,0.04985224673150429,0.026878590000000036,0.5391650680211775
BA,4,uncorr,1,coop,1.0,0.0,0.9977971,0.9962192599999999,0.0060634786669773125,0.0015778400000000525,0.26022026078746263
BA,4,uncorr,1,defect,2.0,0.6,0.6180901999999999,0.5947503000000001,0.03784397168083709,0.023339899999999858,0.616740235323091
BA,4,uncorr,2,bistable,2.0,0.3,0.7544171,0.73867437,0.03559081054517208,0.015742729999999927,0.442325694718842
BA,4,uncorr,2,coop,1.8,0.1,0.9987548,0.99460997,0.006107362842240315,0.004144830000000099,0.6786611680139975
BA,4,uncorr,2,defect,2.0,0.6,0.6167744,0.59526833,0.03683883608298452,0.021506069999999933,0.5837879880774345
BA,4,uncorr,3,bistable,2.0,0.3,0.8641522,0.83273595,0.035506620003169065,0.031416250000000034,0.8847997921851206
BA,4,uncorr,3,coop,1.6,0.2,0.9984338,0.99388705,0.007327958484272561,0.004546750000000044,0.6204661243316794
BA,4,uncorr,3,defect,2.0,0.6,0.6163580000000001,0.5970631799999999,0.03610110211204087,0.019294820000000157,0.5344662315327131
BA,4,uncorr,4,bistable,2.0,0.4,0.7302929,0.71557472,0.0357164760862795,0.014718180000000025,0.4120837667312319
BA,4,uncorr,4,coop,1.4,0.0,0.9978281,0.9957322599999999,0.006452886486457918,0.002095840000000071,0.32479108448574423
BA,4,uncorr,4,defect,2.0,0.6,0.6180118,0.59590091,0.03492082692152667,0.022110889999999994,0.6331720050526612
BA,16,corr,1,bistable,1.6,0.0,0.5900688999999999,0.63924056,0.14066760897380431,-0.04917166000000006,-0.349559222330686
BA,16,corr,1,coop,1.0,0.0,1.0,0.95511798,0.06794075180223494,0.04488201999999997,0.6606052893062563
BA,16,corr,1,defect,2.0,0.1,0.0025509999999999,0.004069529999999931,0.003940839817165287,-0.0015185300000000305,-0.38533157155632247
BA,16,corr,1,transition,1.5,0.1,0.4290012,0.4623088699999999,0.08234108618218691,-0.0333076699999999,-0.4045085089878915
BA,16,corr,2,bistable,1.8,0.0,0.4677163,0.47548102000000003,0.11760731517987968,-0.007764720000000058,-0.06602242375930413
BA,16,corr,2,coop,1.0,0.0,1.0,0.95511798,0.06794075180223494,0.04488201999999997,0.6606052893062563
BA,16,corr,2,defect,2.0,0.6,0.0022680999999999,0.00277006999999995,0.0029336270834166354,-0.0005019700000000499,-0.17110900115342295
BA,16,corr,2,transition,1.5,0.3,0.4928834999999998,0.48773337000000005,0.05333957501970123,0.005150129999999753,0.09655363767141992
BA,16,corr,3,bistable,1.8,0.1,0.4896684999999999,0.44919541999999996,0.055150727938840516,0.04047307999999994,0.7338630243445313
BA,16,corr,3,coop,1.0,0.0,1.0,0.95511798,0.06794075180223494,0.04488201999999997,0.6606052893062563
BA,16,corr,3,defect,2.0,0.6,0.0031220999999999,0.0027686999999999304,0.002844452048774541,0.00035339999999996945,0.12424185535214866
BA,16,corr,3,transition,1.7,0.2,0.4949198999999999,0.48128559,0.052491524353333055,0.013634309999999927,0.2597430760102167
BA,16,corr,4,bistable,1.8,0.1,0.4791899999999999,0.46338515999999996,0.04400364391924328,0.01580483999999993,0.35917116384737174
BA,16,corr,4,coop,1.0,0.0,1.0,0.95511798,0.06794075180223494,0.04488201999999997,0.6606052893062563
BA,16,corr,4,defect,2.0,0.6,0.0026347999999999,0.00277561999999993,0.0025445940007090407,-0.0001408200000000302,-0.05534085200263432
BA,16,corr,4,transition,1.7,0.2,0.4820919000000001,0.48282581,0.05145094785330221,-0.0007339099999999488,-0.014264265880824684
BA,16,uncorr,1,bistable,1.6,0.0,0.6489701,0.6420616800000001,0.12765853186374274,0.006908419999999915,0.05411639863893835
BA,16,uncorr,1,coop,1.0,0.0,1.0,0.95511798,0.06794075180223494,0.04488201999999997,0.6606052893062563
BA,16,uncorr,1,defect,2.0,0.0,0.0025033999999999,0.00554897999999994,0.007215052496274731,-0.0030455800000000403,-0.42211473881479467
BA,16,uncorr,1,transition,1.4,0.4,0.5555289,0.52854628,0.1200095661666167,0.026982619999999957,0.2248372430789252
BA,16,uncorr,2,coop,1.0,0.0,1.0,0.95511798,0.06794075180223494,0.04488201999999997,0.6606052893062563
BA,16,uncorr,2,defect,2.0,0.6,0.0018346999999999,0.0025710299999999403,0.002769429604348941,-0.0007363300000000404,-0.26587785399699393
BA,16,uncorr,2,transition,1.8,0.0,0.488532,0.44659851999999994,0.12646217933406725,0.04193348000000008,0.3315890981858459
BA,16,uncorr,3,coop,1.0,0.0,1.0,0.95511798,0.06794075180223494,0.04488201999999997,0.6606052893062563
BA,16,uncorr,3,defect,2.0,0.7,0.0025962999999999,0.0026995699999999402,0.002849710538926132,-0.00010327000000004026,-0.036238768320292596
BA,16,uncorr,3,transition,1.7,0.1,0.4734574,0.48228669,0.053344679473911284,-0.008829290000000045,-0.16551397603425647
BA,16,uncorr,4,bistable,1.9,0.0,0.4417365,0.42061199999999993,0.11218311954332129,0.021124500000000046,0.18830373130997205
BA,16,uncorr,4,coop,1.0,0.0,1.0,0.95511798,0.06794075180223494,0.04488201999999997,0.6606052893062563
BA,16,uncorr,4,defect,2.0,0.7,0.0025962999999999,0.00302669999999993,0.0032000971669275346,-0.00043040000000003,-0.1344959160765934
BA,16,uncorr,4,transition,1.5,0.4,0.5088138000000001,0.49125856,0.0579669652725144,0.017555240000000083,0.302849043717734
ER,4,corr,1,bistable,1.6,0.2,0.7939288049029624,0.8751409790204592,0.08957856033266336,-0.08121217411749682,-0.9066028055809703
ER,4,corr,1,coop,1.0,0.0,0.99997671092952,1.0,0.0,-2.3289070479992624e-05,
ER,4,corr,1,defect,1.7,0.4,0.0,0.00043032369139046076,0.0007929044237077668,-0.00043032369139046076,-0.5427182375628429
ER,4,corr,1,transition,1.3,0.4,0.3765007150153217,0.4068167253745914,0.023347595285675093,-0.03031601035926973,-1.2984639312242192
ER,4,corr,2,bistable,1.9,0.0,0.473894075587334,0.6822457508053705,0.15671593516287818,-0.20835167521803655,-1.329486213392992
ER,4,corr,2,coop,1.0,0.0,0.99997671092952,1.0,0.0,-2.3289070479992624e-05,
ER,4,corr,2,defect,1.7,0.6,0.0,0.00048339484862798863,0.0007664413961034612,-0.00048339484862798863,-0.6307003393678068
ER,4,corr,2,transition,1.3,0.4,0.4751949948927477,0.515917446689756,0.04913216523836428,-0.04072245179700834,-0.8288348701801298
ER,4,corr,3,bistable,1.9,0.3,0.5109903983656793,0.6522272349281046,0.134410488476772,-0.14123683656242536,-1.0507873169944848
ER,4,corr,3,coop,1.4,0.2,1.0,1.0,0.0,0.0,
ER,4,corr,3,defect,1.7,0.5,0.0,0.0006042783651035883,0.0009774456201007537,-0.0006042783651035883,-0.6182219784680196
ER,4,corr,3,transition,2.0,0.0,0.5019609805924412,0.6333467694298804,0.14984188795185144,-0.13138578883743923,-0.876829507645134
ER,4,corr,4,coop,1.0,0.0,0.99997671092952,1.0,0.0,-2.3289070479992624e-05,
ER,4,corr,4,defect,1.7,0.5,0.0,0.002614041349386561,0.00624320150845207,-0.002614041349386561,-0.418702062691339
ER,4,corr,4,transition,1.7,0.4,0.5605132788559755,0.6187607141179192,0.09395760048376926,-0.05824743526194376,-0.6199331928661347
ER,4,uncorr,1,bistable,1.3,0.2,0.7176002042900919,0.7849773868361926,0.056643152073640034,-0.0673771825461007,-1.1895027038485726
ER,4,uncorr,1,coop,1.0,0.0,0.99997671092952,1.0,0.0,-2.3289070479992624e-05,
ER,4,uncorr,1,defect,1.7,0.0,0.0,0.0005253039488827207,0.0007591038113309972,-0.0005253039488827207,-0.6920054161784058
