topo,z,regime,b,theta,L,sweep,value,K,update_rule,rho_mean,rho_std,seconds
BA,4,coop,1.4,0.4,1,N,250.0,0.1,fermi,1.0,0.0,0.9509000778198242
BA,4,coop,1.4,0.4,1,N,500.0,0.1,fermi,0.9914712,0.046951971103081955,1.1203880310058594
BA,4,coop,1.4,0.4,1,N,1000.0,0.1,fermi,0.9652056999999999,0.08700309855453948,2.8423349857330322
BA,4,coop,1.4,0.4,1,N,2000.0,0.1,fermi,0.9701104500000001,0.06661757547501405,4.040843963623047
BA,4,coop,1.4,0.4,1,K,0.05,0.05,fermi,0.9710517,0.08004368221625847,2.796015977859497
BA,4,coop,1.4,0.4,1,K,0.2,0.2,fermi,0.9743402,0.07929567327389053,2.9259400367736816
BA,4,coop,1.4,0.4,1,async,1.0,0.1,fermi_async,0.9543944999999998,0.09092192179768217,5.169431924819946
BA,4,coop,1.4,0.4,4,N,250.0,0.1,fermi,1.0,0.0,2.2543840408325195
BA,4,coop,1.4,0.4,4,N,500.0,0.1,fermi,1.0,0.0,6.599156856536865
BA,4,coop,1.4,0.4,4,N,1000.0,0.1,fermi,0.9986487,0.013513000000000018,20.766260147094727
BA,4,coop,1.4,0.4,4,N,2000.0,0.1,fermi,0.99967545,0.0019651319249157496,59.919615030288696
BA,4,coop,1.4,0.4,4,K,0.05,0.05,fermi,0.9950466,0.030954902133604106,21.05107617378235
BA,4,coop,1.4,0.4,4,K,0.2,0.2,fermi,0.9986713,0.013286999999999998,20.6410129070282
BA,4,coop,1.4,0.4,4,async,1.0,0.1,fermi_async,0.9979303999999999,0.01456168286700374,23.149882078170776
BA,4,defect,2.0,0.7,1,N,250.0,0.1,fermi,0.4668912,0.20963612782016927,1.1376910209655762
BA,4,defect,2.0,0.7,1,N,500.0,0.1,fermi,0.5847996000000001,0.10817949464877644,1.9952518939971924
BA,4,defect,2.0,0.7,1,N,1000.0,0.1,fermi,0.5827585999999999,0.05441822065663619,4.10361123085022
BA,4,defect,2.0,0.7,1,N,2000.0,0.1,fermi,0.5946176499999999,0.056705637434883556,5.208231210708618
BA,4,defect,2.0,0.7,1,K,0.05,0.05,fermi,0.5808237999999999,0.05343986284572313,4.1794726848602295
BA,4,defect,2.0,0.7,1,K,0.2,0.2,fermi,0.5853784999999998,0.06265731663605059,4.34061598777771
BA,4,defect,2.0,0.7,1,async,1.0,0.1,fermi_async,0.6495673,0.08649464177781609,7.577664852142334
BA,4,defect,2.0,0.7,4,N,250.0,0.1,fermi,0.4581776,0.2171430018647349,3.6872339248657227
BA,4,defect,2.0,0.7,4,N,500.0,0.1,fermi,0.5856404000000001,0.10855704986128659,11.001112222671509
BA,4,defect,2.0,0.7,4,N,1000.0,0.1,fermi,0.5869532,0.046232732640785396,31.223172187805176
BA,4,defect,2.0,0.7,4,N,2000.0,0.1,fermi,0.59636895,0.05324297377316182,81.4828450679779
BA,4,defect,2.0,0.7,4,K,0.05,0.05,fermi,0.5870601,0.04517978014923636,31.389548778533936
BA,4,defect,2.0,0.7,4,K,0.2,0.2,fermi,0.5886958999999999,0.059948184361769664,32.96793484687805
BA,4,defect,2.0,0.7,4,async,1.0,0.1,fermi_async,0.6434084,0.08875387142183508,36.38242697715759
BA,4,bistable,2.0,0.5,1,N,250.0,0.1,fermi,0.46092120000000003,0.21434132850576476,1.1708590984344482
BA,4,bistable,2.0,0.5,1,N,500.0,0.1,fermi,0.5810964000000001,0.1086986565807722,2.0389246940612793
BA,4,bistable,2.0,0.5,1,N,1000.0,0.1,fermi,0.5846908,0.05169143823915451,4.173079013824463
BA,4,bistable,2.0,0.5,1,N,2000.0,0.1,fermi,0.6023499999999999,0.04852906021502513,5.2486891746521
BA,4,bistable,2.0,0.5,1,K,0.05,0.05,fermi,0.5833578,0.051014260386561316,4.243650913238525
BA,4,bistable,2.0,0.5,1,K,0.2,0.2,fermi,0.5826208999999999,0.06621508909934609,4.357371091842651
BA,4,bistable,2.0,0.5,1,async,1.0,0.1,fermi_async,0.6490161999999999,0.08518732910450708,7.390174865722656
BA,4,bistable,2.0,0.5,4,N,250.0,0.1,fermi,0.6299952000000001,0.32501694124759,3.165724992752075
BA,4,bistable,2.0,0.5,4,N,500.0,0.1,fermi,0.719309,0.22757976623370957,9.842397212982178
BA,4,bistable,2.0,0.5,4,N,1000.0,0.1,fermi,0.7505185,0.20776176853647554,27.780290126800537
BA,4,bistable,2.0,0.5,4,N,2000.0,0.1,fermi,0.7624682,0.19346743483380277,68.6301941871643
BA,4,bistable,2.0,0.5,4,K,0.05,0.05,fermi,0.7533040000000001,0.20426166130428847,27.34841299057007
BA,4,bistable,2.0,0.5,4,K,0.2,0.2,fermi,0.7522990999999999,0.20474478508717614,28.668282985687256
BA,4,bistable,2.0,0.5,4,async,1.0,0.1,fermi_async,0.782779,0.2011665364338912,30.314278841018677
BA,16,coop,1.0,0.0,1,N,250.0,0.1,fermi,0.9207027999999999,0.26461080605861487,0.9120388031005859
BA,16,coop,1.0,0.0,1,N,500.0,0.1,fermi,0.9525232,0.16396874347918086,1.7391769886016846
BA,16,coop,1.0,0.0,1,N,1000.0,0.1,fermi,0.9788332,0.10320186478308942,3.6040937900543213
BA,16,coop,1.0,0.0,1,N,2000.0,0.1,fermi,0.97065315,0.12107569655922076,5.738171815872192
BA,16,coop,1.0,0.0,1,K,0.05,0.05,fermi,0.9788332,0.10320186478308942,3.3076610565185547
BA,16,coop,1.0,0.0,1,K,0.2,0.2,fermi,0.9677575,0.1305514489423982,3.142087936401367
BA,16,coop,1.0,0.0,1,async,1.0,0.1,fermi_async,0.9574482000000001,0.14937747838021745,6.490084171295166
BA,16,coop,1.0,0.0,4,N,250.0,0.1,fermi,0.9207027999999999,0.26461080605861487,2.8134210109710693
BA,16,coop,1.0,0.0,4,N,500.0,0.1,fermi,0.9525232,0.16396874347918086,10.03072190284729
BA,16,coop,1.0,0.0,4,N,1000.0,0.1,fermi,0.9788332,0.10320186478308942,38.74453902244568
BA,16,coop,1.0,0.0,4,N,2000.0,0.1,fermi,0.97065315,0.12107569655922076,130.89096093177795
BA,16,coop,1.0,0.0,4,K,0.05,0.05,fermi,0.9788332,0.10320186478308942,33.777955055236816
BA,16,coop,1.0,0.0,4,K,0.2,0.2,fermi,0.9677575,0.1305514489423982,34.05180883407593
BA,16,coop,1.0,0.0,4,async,1.0,0.1,fermi_async,0.9574482000000001,0.14937747838021745,38.849570989608765
BA,16,defect,2.0,0.6,1,N,250.0,0.1,fermi,0.0,0.0,0.981348991394043
BA,16,defect,2.0,0.6,1,N,500.0,0.1,fermi,0.0,0.0,1.6509168148040771
BA,16,defect,2.0,0.6,1,N,1000.0,0.1,fermi,0.0025061999999999997,0.01108580927277405,3.2334117889404297
BA,16,defect,2.0,0.6,1,N,2000.0,0.1,fermi,0.04063185,0.032813327943609256,6.087800025939941
BA,16,defect,2.0,0.6,1,K,0.05,0.05,fermi,0.0025061999999999997,0.01108580927277405,3.343656301498413
BA,16,defect,2.0,0.6,1,K,0.2,0.2,fermi,0.003347399999999998,0.011464174730988104,3.50312876701355
BA,16,defect,2.0,0.6,1,async,1.0,0.1,fermi_async,0.0028228,0.010494857237925842,6.137315034866333
BA,16,defect,2.0,0.6,4,N,250.0,0.1,fermi,0.0,0.0,2.765556812286377
BA,16,defect,2.0,0.6,4,N,500.0,0.1,fermi,0.0,0.0,8.44709300994873
BA,16,defect,2.0,0.6,4,N,1000.0,0.1,fermi,0.0032495999999999988,0.012104549184066908,30.17857837677002
BA,16,defect,2.0,0.6,4,N,2000.0,0.1,fermi,0.03392315,0.031254301680938755,134.05580592155457
BA,16,defect,2.0,0.6,4,K,0.05,0.05,fermi,0.0028613999999999983,0.011562621598159396,29.86161732673645
BA,16,defect,2.0,0.6,4,K,0.2,0.2,fermi,0.002260799999999999,0.00967351217176955,34.465086936950684
BA,16,defect,2.0,0.6,4,async,1.0,0.1,fermi_async,0.0035741999999999996,0.011726604663298449,32.50579595565796
BA,16,transition,1.7,0.2,1,N,250.0,0.1,fermi,0.05,0.21904291355759029,0.9661412239074707
BA,16,transition,1.7,0.2,1,N,500.0,0.1,fermi,0.0913888,0.28735166521455163,1.6294829845428467
BA,16,transition,1.7,0.2,1,N,1000.0,0.1,fermi,0.10463160000000002,0.2523619650411574,3.6119909286499023
BA,16,transition,1.7,0.2,1,N,2000.0,0.1,fermi,0.18757729999999997,0.2763552109530761,6.414865970611572
BA,16,transition,1.7,0.2,1,K,0.05,0.05,fermi,0.09283340000000001,0.23420000073846925,3.849742889404297
BA,16,transition,1.7,0.2,1,K,0.2,0.2,fermi,0.0820257,0.236198801792456,3.6483750343322754
BA,16,transition,1.7,0.2,1,async,1.0,0.1,fermi_async,0.1340222,0.29375616044115793,7.849131107330322
BA,16,transition,1.7,0.2,4,N,250.0,0.1,fermi,0.26,0.4408440022768081,2.623567819595337
BA,16,transition,1.7,0.2,4,N,500.0,0.1,fermi,0.42092979999999997,0.49533638837913463,8.37135910987854
BA,16,transition,1.7,0.2,4,N,1000.0,0.1,fermi,0.4720948,0.49041923621062633,33.634820222854614
BA,16,transition,1.7,0.2,4,N,2000.0,0.1,fermi,0.5580832,0.44801498176581805,143.24810814857483
BA,16,transition,1.7,0.2,4,K,0.05,0.05,fermi,0.433387,0.47639803858398355,34.35768723487854
BA,16,transition,1.7,0.2,4,K,0.2,0.2,fermi,0.4141045,0.4818167279223586,33.56665301322937
BA,16,transition,1.7,0.2,4,async,1.0,0.1,fermi_async,0.43993859999999996,0.4801398372781148,38.84840989112854
