topo,z,regime,base_gain,cond_gain,sweep,value,diff
BA,4,bistable,0.16582770000000002,0.1690740000000001,N,250.0,0.0032463000000000908
BA,4,coop,0.03344299999999989,0.0,N,250.0,-0.03344299999999989
BA,4,defect,0.004194600000000048,-0.008713599999999988,N,250.0,-0.012908200000000036
BA,16,bistable,0.37048670000000006,0.19999999999999998,N,250.0,-0.17048670000000007
BA,16,coop,0.0,0.0,N,250.0,0.0
BA,16,defect,0.0007434,0.0,N,250.0,-0.0007434
BA,16,transition,0.3674632,0.21000000000000002,N,250.0,-0.15746319999999997
ER,4,coop,0.0,0.0,N,250.0,0.0
ER,4,defect,0.0105818552497452,0.06,N,250.0,0.0494181447502548
ER,4,transition,0.602103261977574,0.3905433333333334,N,250.0,-0.2115599286442406
ER,16,bistable,0.43359740000000013,0.1,N,250.0,-0.33359740000000015
ER,16,coop,0.7689173,0.32,N,250.0,-0.4489173
ER,16,defect,0.01,0.0,N,250.0,-0.01
ER,16,transition,0.4833602999999999,0.12,N,250.0,-0.3633602999999999
BA,4,bistable,0.16582770000000002,0.1382125999999999,N,500.0,-0.027615100000000115
BA,4,coop,0.03344299999999989,0.008528800000000003,N,500.0,-0.024914199999999886
BA,4,defect,0.004194600000000048,0.0008407999999999749,N,500.0,-0.0033538000000000734
BA,16,bistable,0.37048670000000006,0.31,N,500.0,-0.06048670000000006
BA,16,coop,0.0,0.0,N,500.0,0.0
BA,16,defect,0.0007434,0.0,N,500.0,-0.0007434
BA,16,transition,0.3674632,0.3295409999999999,N,500.0,-0.03792220000000007
ER,4,coop,0.0,0.0,N,500.0,0.0
ER,4,defect,0.0105818552497452,0.01,N,500.0,-0.0005818552497451994
ER,4,transition,0.602103261977574,0.5311121951219512,N,500.0,-0.07099106685562284
ER,16,bistable,0.43359740000000013,0.1798505999999999,N,500.0,-0.25374680000000027
ER,16,coop,0.7689173,0.9026567999999999,N,500.0,0.1337394999999999
ER,16,defect,0.01,0.0,N,500.0,-0.01
ER,16,transition,0.4833602999999999,0.2394368000000001,N,500.0,-0.24392349999999982
BA,4,bistable,0.16582770000000002,0.1601182000000001,N,2000.0,-0.005709499999999923
BA,4,coop,0.03344299999999989,0.029565000000000063,N,2000.0,-0.003877999999999826
BA,4,defect,0.004194600000000048,0.0017513000000001222,N,2000.0,-0.002443299999999926
BA,16,bistable,0.37048670000000006,0.39949825,N,2000.0,0.02901154999999994
BA,16,coop,0.0,0.0,N,2000.0,0.0
BA,16,defect,0.0007434,-0.006708699999999998,N,2000.0,-0.007452099999999998
BA,16,transition,0.3674632,0.3705059000000001,N,2000.0,0.0030427000000001203
ER,4,coop,0.0,0.0,N,2000.0,0.0
ER,4,defect,0.0105818552497452,3.2415902140672814e-05,N,2000.0,-0.010549439347604527
ER,4,transition,0.602103261977574,0.6499313965341487,N,2000.0,0.04782813455657464
ER,16,bistable,0.43359740000000013,0.42279785000000003,N,2000.0,-0.010799550000000102
ER,16,coop,0.7689173,0.76141195,N,2000.0,-0.007505350000000077
ER,16,defect,0.01,0.0033179000000000004,N,2000.0,-0.0066821
ER,16,transition,0.4833602999999999,0.6404884999999999,N,2000.0,0.1571282
BA,4,bistable,0.16582770000000002,0.16994620000000005,K,0.05,0.004118500000000025
BA,4,coop,0.03344299999999989,0.02399490000000004,K,0.05,-0.009448099999999848
BA,4,defect,0.004194600000000048,0.0062363000000000834,K,0.05,0.002041700000000035
BA,16,bistable,0.37048670000000006,0.3463955000000001,K,0.05,-0.02409119999999998
BA,16,coop,0.0,0.0,K,0.05,0.0
BA,16,defect,0.0007434,0.00035519999999999996,K,0.05,-0.0003882
BA,16,transition,0.3674632,0.3405536,K,0.05,-0.026909599999999978
ER,4,coop,0.0,0.0,K,0.05,0.0
ER,4,defect,0.0105818552497452,-0.0008228338430173003,K,0.05,-0.0114046890927625
ER,4,transition,0.602103261977574,0.6405349643221203,K,0.05,0.03843170234454629
ER,16,bistable,0.43359740000000013,0.680434,K,0.05,0.24683659999999985
ER,16,coop,0.7689173,0.7264261000000001,K,0.05,-0.04249119999999995
