topo,z,regime,L,sweep,value,rho_mean,rho_std
BA,4,bistable,1,K,0.05,0.5833578,0.051014260386561316
BA,4,bistable,1,K,0.2,0.5826208999999999,0.06621508909934609
BA,4,bistable,1,N,250.0,0.46092120000000003,0.21434132850576476
BA,4,bistable,1,N,500.0,0.5810964000000001,0.1086986565807722
BA,4,bistable,1,N,1000.0,0.5846908,0.05169143823915451
BA,4,bistable,1,N,2000.0,0.6023499999999999,0.04852906021502513
BA,4,bistable,1,async,1.0,0.6490161999999999,0.08518732910450708
BA,4,bistable,4,K,0.05,0.7533040000000001,0.20426166130428847
BA,4,bistable,4,K,0.2,0.7522990999999999,0.20474478508717614
BA,4,bistable,4,N,250.0,0.6299952000000001,0.32501694124759
BA,4,bistable,4,N,500.0,0.719309,0.22757976623370957
BA,4,bistable,4,N,1000.0,0.7505185,0.20776176853647554
BA,4,bistable,4,N,2000.0,0.7624682,0.19346743483380277
BA,4,bistable,4,async,1.0,0.782779,0.2011665364338912
BA,4,coop,1,K,0.05,0.9710517,0.08004368221625847
BA,4,coop,1,K,0.2,0.9743402,0.07929567327389053
BA,4,coop,1,N,250.0,1.0,0.0
BA,4,coop,1,N,500.0,0.9914712,0.046951971103081955
BA,4,coop,1,N,1000.0,0.9652056999999999,0.08700309855453948
BA,4,coop,1,N,2000.0,0.9701104500000001,0.06661757547501405
BA,4,coop,1,async,1.0,0.9543944999999998,0.09092192179768217
BA,4,coop,4,K,0.05,0.9950466,0.030954902133604106
BA,4,coop,4,K,0.2,0.9986713,0.013286999999999998
BA,4,coop,4,N,250.0,1.0,0.0
BA,4,coop,4,N,500.0,1.0,0.0
BA,4,coop,4,N,1000.0,0.9986487,0.013513000000000018
BA,4,coop,4,N,2000.0,0.99967545,0.0019651319249157496
BA,4,coop,4,async,1.0,0.9979303999999999,0.01456168286700374
BA,4,defect,1,K,0.05,0.5808237999999999,0.05343986284572313
BA,4,defect,1,K,0.2,0.5853784999999998,0.06265731663605059
BA,4,defect,1,N,250.0,0.4668912,0.20963612782016927
BA,4,defect,1,N,500.0,0.5847996000000001,0.10817949464877644
BA,4,defect,1,N,1000.0,0.5827585999999999,0.05441822065663619
BA,4,defect,1,N,2000.0,0.5946176499999999,0.056705637434883556
BA,4,defect,1,async,1.0,0.6495673,0.08649464177781609
BA,4,defect,4,K,0.05,0.5870601,0.04517978014923636
BA,4,defect,4,K,0.2,0.5886958999999999,0.059948184361769664
BA,4,defect,4,N,250.0,0.4581776,0.2171430018647349
BA,4,defect,4,N,500.0,0.5856404000000001,0.10855704986128659
BA,4,defect,4,N,1000.0,0.5869532,0.046232732640785396
BA,4,defect,4,N,2000.0,0.59636895,0.05324297377316182
BA,4,defect,4,async,1.0,0.6434084,0.08875387142183508
BA,16,bistable,1,K,0.05,0.09970559999999999,0.26871188400345614
BA,16,bistable,1,K,0.2,0.12054450000000001,0.31175605206757023
BA,16,bistable,1,N,250.0,0.01,0.09999999999999999
BA,16,bistable,1,N,500.0,0.06,0.238683256575942
BA,16,bistable,1,N,1000.0,0.10564079999999999,0.28410767012098737
BA,16,bistable,1,N,2000.0,0.18175090000000005,0.3054565442703195
BA,16,bistable,1,async,1.0,0.1383765,0.32151496842599675
BA,16,bistable,4,K,0.05,0.4461011,0.4937301807297425
BA,16,bistable,4,K,0.2,0.48364989999999997,0.4988014430845427
BA,16,bistable,4,N,250.0,0.21,0.40936018074033237
BA,16,bistable,4,N,500.0,0.37,0.4852365870939097
BA,16,bistable,4,N,1000.0,0.47612750000000004,0.49622415056177754
BA,16,bistable,4,N,2000.0,0.58124915,0.46099012566445363
BA,16,bistable,4,async,1.0,0.48784459999999996,0.4950882802197497
BA,16,coop,1,K,0.05,0.9788332,0.10320186478308942
BA,16,coop,1,K,0.2,0.9677575,0.1305514489423982
BA,16,coop,1,N,250.0,0.9207027999999999,0.26461080605861487
BA,16,coop,1,N,500.0,0.9525232,0.16396874347918086
BA,16,coop,1,N,1000.0,0.9788332,0.10320186478308942
BA,16,coop,1,N,2000.0,0.97065315,0.12107569655922076
BA,16,coop,1,async,1.0,0.9574482000000001,0.14937747838021745
BA,16,coop,4,K,0.05,0.9788332,0.10320186478308942
BA,16,coop,4,K,0.2,0.9677575,0.1305514489423982
BA,16,coop,4,N,250.0,0.9207027999999999,0.26461080605861487
BA,16,coop,4,N,500.0,0.9525232,0.16396874347918086
BA,16,coop,4,N,1000.0,0.9788332,0.10320186478308942
BA,16,coop,4,N,2000.0,0.97065315,0.12107569655922076
BA,16,coop,4,async,1.0,0.9574482000000001,0.14937747838021745
BA,16,defect,1,K,0.05,0.0025061999999999997,0.01108580927277405
BA,16,defect,1,K,0.2,0.003347399999999998,0.011464174730988104
BA,16,defect,1,N,250.0,0.0,0.0
BA,16,defect,1,N,500.0,0.0,0.0
BA,16,defect,1,N,1000.0,0.0025061999999999997,0.01108580927277405
BA,16,defect,1,N,2000.0,0.04063185,0.032813327943609256
BA,16,defect,1,async,1.0,0.0028228,0.010494857237925842
BA,16,defect,4,K,0.05,0.0028613999999999983,0.011562621598159396
BA,16,defect,4,K,0.2,0.002260799999999999,0.00967351217176955
BA,16,defect,4,N,250.0,0.0,0.0
BA,16,defect,4,N,500.0,0.0,0.0
BA,16,defect,4,N,1000.0,0.0032495999999999988,0.012104549184066908
BA,16,defect,4,N,2000.0,0.03392315,0.031254301680938755
BA,16,defect,4,async,1.0,0.0035741999999999996,0.011726604663298449
BA,16,transition,1,K,0.05,0.09283340000000001,0.23420000073846925
BA,16,transition,1,K,0.2,0.0820257,0.236198801792456
BA,16,transition,1,N,250.0,0.05,0.21904291355759029
BA,16,transition,1,N,500.0,0.0913888,0.28735166521455163
BA,16,transition,1,N,1000.0,0.10463160000000002,0.2523619650411574
BA,16,transition,1,N,2000.0,0.18757729999999997,0.2763552109530761
BA,16,transition,1,async,1.0,0.1340222,0.29375616044115793
BA,16,transition,4,K,0.05,0.433387,0.47639803858398355
BA,16,transition,4,K,0.2,0.4141045,0.4818167279223586
BA,16,transition,4,N,250.0,0.26,0.4408440022768081
BA,16,transition,4,N,500.0,0.42092979999999997,0.49533638837913463
BA,16,transition,4,N,1000.0,0.4720948,0.49041923621062633
BA,16,transition,4,N,2000.0,0.5580832,0.44801498176581805
BA,16,transition,4,async,1.0,0.43993859999999996,0.4801398372781148
ER,4,coop,1,K,0.05,1.0,0.0
ER,4,coop,1,K,0.2,1.0,0.0
ER,4,coop,1,N,250.0,1.0,0.0
ER,4,coop,1,N,500.0,1.0,0.0
ER,4,coop,1,N,1000.0,1.0,0.0
ER,4,coop,1,N,2000.0,0.999970489296636,0.0002951070336391747
ER,4,coop,1,async,1.0,1.0,0.0
ER,4,coop,4,K,0.05,1.0,0.0
ER,4,coop,4,K,0.2,1.0,0.0
ER,4,coop,4,N,250.0,1.0,0.0
ER,4,coop,4,N,500.0,1.0,0.0
ER,4,coop,4,N,1000.0,1.0,0.0
ER,4,coop,4,N,2000.0,0.999970489296636,0.0002951070336391747
ER,4,coop,4,async,1.0,1.0,0.0
ER,4,defect,1,K,0.05,0.017237920489296635,0.013065456686641264
ER,4,defect,1,K,0.2,0.0,0.0
ER,4,defect,1,N,250.0,0.00021374999999999975,0.002137499999999997
ER,4,defect,1,N,500.0,0.0,0.0
ER,4,defect,1,N,1000.0,0.0004608562691131499,0.0018273529448760253
ER,4,defect,1,N,2000.0,1.7584097859327232e-05,0.00016537619582286363
ER,4,defect,1,async,1.0,0.001554026503567788,0.004725339311641652
ER,4,defect,4,K,0.05,0.01641508664627931,0.012278183811421258
ER,4,defect,4,K,0.2,0.0,0.0
ER,4,defect,4,N,250.0,0.060213749999999996,0.23863854840540297
ER,4,defect,4,N,500.0,0.01,0.09999999999999999
ER,4,defect,4,N,1000.0,0.011042711518858307,0.09993740690634903
ER,4,defect,4,N,2000.0,5.000000000000004e-05,0.0002798654607501209
ER,4,defect,4,async,1.0,0.04261661569826708,0.19651097265657588
ER,4,transition,1,K,0.05,0.01667257900101937,0.013377681750260583
ER,4,transition,1,K,0.2,0.0,0.0
ER,4,transition,1,N,250.0,0.00021374999999999975,0.002137499999999997
ER,4,transition,1,N,500.0,0.0,0.0
ER,4,transition,1,N,1000.0,0.0005273190621814477,0.0019557116670725384
ER,4,transition,1,N,2000.0,7.879714576962286e-05,0.0003185261740171563
ER,4,transition,1,async,1.0,0.001516921508664628,0.004956961473980396
ER,4,transition,4,K,0.05,0.6572075433231396,0.4695807370617257
ER,4,transition,4,K,0.2,0.5200450560652395,0.5020697994323335
ER,4,transition,4,N,250.0,0.3907570833333333,0.48961802395381265
ER,4,transition,4,N,500.0,0.5311121951219512,0.5005027022988747
ER,4,transition,4,N,1000.0,0.6026305810397554,0.48924298115461695
ER,4,transition,4,N,2000.0,0.6500101936799183,0.47916129699155385
ER,4,transition,4,async,1.0,0.8612760448521916,0.3455963251057376
ER,16,bistable,1,K,0.05,0.0253247,0.031200394469631406
ER,16,bistable,1,K,0.2,0.0005306999999999998,0.005306999999999998
ER,16,bistable,1,N,250.0,0.0,0.0
ER,16,bistable,1,N,500.0,0.0,0.0
ER,16,bistable,1,N,1000.0,0.013652199999999998,0.023172238640147818
ER,16,bistable,1,N,2000.0,0.05903495000000001,0.013666433248099063
ER,16,bistable,1,async,1.0,0.06981310000000002,0.021815512907659138
ER,16,bistable,4,K,0.05,0.7057587,0.44924446048681665
ER,16,bistable,4,K,0.2,0.17106719999999995,0.3759474617874205
ER,16,bistable,4,N,250.0,0.1,0.30151134457776363
ER,16,bistable,4,N,500.0,0.17985059999999997,0.38580519724054796
ER,16,bistable,4,N,1000.0,0.4472496,0.4907310678728176
ER,16,bistable,4,N,2000.0,0.48183280000000006,0.47038796634853997
ER,16,bistable,4,async,1.0,0.959509,0.18561792037582595
ER,16,coop,1,K,0.05,0.2714475,0.02692912547294051
ER,16,coop,1,K,0.2,0.1606275,0.030155573496101644
ER,16,coop,1,N,250.0,0.0,0.0
ER,16,coop,1,N,500.0,0.05677560000000001,0.08746020262422623
ER,16,coop,1,N,1000.0,0.2295145,0.024347791776543896
ER,16,coop,1,N,2000.0,0.2383256,0.01791829860474731
ER,16,coop,1,async,1.0,0.3936188,0.22555097061644444
ER,16,coop,4,K,0.05,0.9978736,0.0048127011084833655
ER,16,coop,4,K,0.2,0.9971012,0.0057988308260800365
ER,16,coop,4,N,250.0,0.32,0.4688261722621506
ER,16,coop,4,N,500.0,0.9594324000000001,0.19685002693749606
ER,16,coop,4,N,1000.0,0.9984317999999999,0.004137483834995522
ER,16,coop,4,N,2000.0,0.9997375500000001,0.0014815690043485724
ER,16,coop,4,async,1.0,0.9959249,0.006412650454257347
ER,16,defect,1,K,0.05,0.0005389999999999998,0.0040850863274881095
ER,16,defect,1,K,0.2,0.0,0.0
ER,16,defect,1,N,250.0,0.0,0.0
ER,16,defect,1,N,500.0,0.0,0.0
ER,16,defect,1,N,1000.0,0.0,0.0
ER,16,defect,1,N,2000.0,0.00790405,0.013581025658129346
ER,16,defect,1,async,1.0,0.0032399,0.011090188082583212
ER,16,defect,4,K,0.05,0.0008346999999999997,0.004787835270323903
ER,16,defect,4,K,0.2,0.0,0.0
ER,16,defect,4,N,250.0,0.0,0.0
ER,16,defect,4,N,500.0,0.0,0.0
ER,16,defect,4,N,1000.0,0.01,0.09999999999999999
ER,16,defect,4,N,2000.0,0.011221950000000001,0.014582629418422815
ER,16,defect,4,async,1.0,0.12628349999999997,0.3227002498218756
ER,16,transition,1,K,0.05,0.11693660000000003,0.03127499589322455
ER,16,transition,1,K,0.2,0.08242390000000002,0.03527830004880243
ER,16,transition,1,N,250.0,0.0,0.0
ER,16,transition,1,N,500.0,0.002481399999999999,0.012554324863077134
ER,16,transition,1,N,1000.0,0.10637910000000002,0.0339677764143512
ER,16,transition,1,N,2000.0,0.12284420000000001,0.007115139844732574
ER,16,transition,1,async,1.0,0.15213629999999997,0.008258845231359857
ER,16,transition,4,K,0.05,0.6468651999999999,0.4339778662290593
ER,16,transition,4,K,0.2,0.6210888,0.45404659360488764
ER,16,transition,4,N,250.0,0.12,0.32659863237109044
ER,16,transition,4,N,500.0,0.2419182,0.42736949251920314
ER,16,transition,4,N,1000.0,0.5897393999999999,0.44515857910995255
ER,16,transition,4,N,2000.0,0.7633326999999999,0.390904885784912
ER,16,transition,4,async,1.0,0.9621826,0.16644727549721094
