topo,z,b,theta,L,sweep,value,K,update_rule,rho_mean,rho_std,seconds
BA,4,1.8,0.3,1,N,250.0,0.1,fermi,0.8001756,0.1781407990537686,1.2644920349121094
BA,4,1.8,0.3,1,N,500.0,0.1,fermi,0.8588174,0.1000958461344612,1.5710673332214355
BA,4,1.8,0.3,1,N,1000.0,0.1,fermi,0.814549,0.14498629833208515,3.634510040283203
BA,4,1.8,0.3,1,N,2000.0,0.1,fermi,0.8304647,0.11942425886927145,4.854659080505371
BA,4,1.8,0.3,1,K,0.05,0.05,fermi,0.8191290999999999,0.13893872200693075,3.8037121295928955
BA,4,1.8,0.3,1,K,0.2,0.2,fermi,0.8326835000000001,0.11331497964911248,3.8093068599700928
BA,4,1.8,0.3,1,async,1.0,0.1,fermi_async,0.8469124999999998,0.14084279333746902,6.28941798210144
BA,4,1.8,0.3,4,N,250.0,0.1,fermi,0.9856456,0.10416604305578184,2.507798194885254
BA,4,1.8,0.3,4,N,500.0,0.1,fermi,0.9973204,0.026796000000000056,6.570563077926636
BA,4,1.8,0.3,4,N,1000.0,0.1,fermi,0.9977148,0.016080881897018513,19.928390979766846
BA,4,1.8,0.3,4,N,2000.0,0.1,fermi,0.99958685,0.0021554273352341505,57.42164397239685
BA,4,1.8,0.3,4,K,0.05,0.05,fermi,0.9977048,0.016152001063132505,19.776665687561035
BA,4,1.8,0.3,4,K,0.2,0.2,fermi,0.9986537,0.013463000000000008,19.839395761489868
BA,4,1.8,0.3,4,async,1.0,0.1,fermi_async,0.9989712000000001,0.010287999999999993,22.132825136184692
BA,4,2.0,0.3,1,N,250.0,0.1,fermi,0.5793252,0.3222994352345112,0.9825427532196045
BA,4,2.0,0.3,1,N,500.0,0.1,fermi,0.6706532,0.1990457608056677,1.8273749351501465
BA,4,2.0,0.3,1,N,1000.0,0.1,fermi,0.6552868,0.15012749466471162,3.7803547382354736
BA,4,2.0,0.3,1,N,2000.0,0.1,fermi,0.6694700000000001,0.1481960465093793,4.871983051300049
BA,4,2.0,0.3,1,K,0.05,0.05,fermi,0.6540511999999999,0.14690157439646997,3.871572971343994
BA,4,2.0,0.3,1,K,0.2,0.2,fermi,0.6485919,0.15425854449228663,3.876645088195801
BA,4,2.0,0.3,1,async,1.0,0.1,fermi_async,0.725035,0.18291246250708024,7.132648944854736
BA,4,2.0,0.3,4,N,250.0,0.1,fermi,0.9543312,0.17092860770473386,2.4664220809936523
BA,4,2.0,0.3,4,N,500.0,0.1,fermi,0.9916316000000001,0.058893329366565654,6.674628019332886
BA,4,2.0,0.3,4,N,1000.0,0.1,fermi,0.9988795,0.011205000000000008,20.260458946228027
BA,4,2.0,0.3,4,N,2000.0,0.1,fermi,0.9988402999999999,0.008579574693963114,57.630775928497314
BA,4,2.0,0.3,4,K,0.05,0.05,fermi,0.9977012,0.016177738806424355,19.886587858200073
BA,4,2.0,0.3,4,K,0.2,0.2,fermi,0.9986517,0.013483000000000028,19.95451283454895
BA,4,2.0,0.3,4,async,1.0,0.1,fermi_async,0.9979023000000001,0.014760384589922551,22.14224100112915
BA,16,1.5,0.3,1,N,250.0,0.1,fermi,0.01,0.1,1.040297269821167
BA,16,1.5,0.3,1,N,500.0,0.1,fermi,0.0404614,0.12257306076909001,2.0495851039886475
BA,16,1.5,0.3,1,N,1000.0,0.1,fermi,0.17053909999999997,0.11652611961147197,5.919250965118408
BA,16,1.5,0.3,1,N,2000.0,0.1,fermi,0.25953355,0.183788623841859,11.042673110961914
BA,16,1.5,0.3,1,K,0.05,0.05,fermi,0.1435012,0.13523866874454946,6.172783136367798
BA,16,1.5,0.3,1,K,0.2,0.2,fermi,0.1685703,0.15692268871403658,5.605425119400024
BA,16,1.5,0.3,1,async,1.0,0.1,fermi_async,0.1846866,0.16434672583709642,11.597852945327759
BA,16,1.5,0.3,4,N,250.0,0.1,fermi,0.35,0.4793724854411022,2.793370008468628
BA,16,1.5,0.3,4,N,500.0,0.1,fermi,0.48196960000000005,0.4924998899121448,9.390775918960571
BA,16,1.5,0.3,4,N,1000.0,0.1,fermi,0.6144681,0.4374600456554157,35.88691997528076
BA,16,1.5,0.3,4,N,2000.0,0.1,fermi,0.7175195999999999,0.37945482612164794,150.71545219421387
BA,16,1.5,0.3,4,K,0.05,0.05,fermi,0.6065404,0.4319040424289926,42.49746298789978
BA,16,1.5,0.3,4,K,0.2,0.2,fermi,0.6110848,0.43183595693969284,40.38329601287842
BA,16,1.5,0.3,4,async,1.0,0.1,fermi_async,0.5979689,0.4299829215962354,44.8796808719635
BA,16,1.7,0.3,1,N,250.0,0.1,fermi,0.01,0.1,1.0241310596466064
BA,16,1.7,0.3,1,N,500.0,0.1,fermi,0.001662799999999999,0.012391877437428207,1.778149127960205
BA,16,1.7,0.3,1,N,1000.0,0.1,fermi,0.031789500000000005,0.04460611532054657,3.82666277885437
BA,16,1.7,0.3,1,N,2000.0,0.1,fermi,0.0986428,0.04877264293793719,7.837046146392822
BA,16,1.7,0.3,1,K,0.05,0.05,fermi,0.0280222,0.035779732160749186,3.63651180267334
BA,16,1.7,0.3,1,K,0.2,0.2,fermi,0.0331964,0.05034939114755305,3.929023027420044
BA,16,1.7,0.3,1,async,1.0,0.1,fermi_async,0.052591800000000015,0.05528750770145444,7.583920001983643
