topo,z,b,L,sweep,value,rho_mean,rho_std
BA,4,1.8,1,K,0.05,0.8191290999999999,0.13893872200693075
BA,4,1.8,1,K,0.2,0.8326835000000001,0.11331497964911248
BA,4,1.8,1,N,250.0,0.8001756,0.1781407990537686
BA,4,1.8,1,N,500.0,0.8588174,0.1000958461344612
BA,4,1.8,1,N,1000.0,0.814549,0.14498629833208515
BA,4,1.8,1,N,2000.0,0.8304647,0.11942425886927145
BA,4,1.8,1,async,1.0,0.8469124999999998,0.14084279333746902
BA,4,1.8,4,K,0.05,0.9977048,0.016152001063132505
BA,4,1.8,4,K,0.2,0.9986537,0.013463000000000008
BA,4,1.8,4,N,250.0,0.9856456,0.10416604305578184
BA,4,1.8,4,N,500.0,0.9973204,0.026796000000000056
BA,4,1.8,4,N,1000.0,0.9977148,0.016080881897018513
BA,4,1.8,4,N,2000.0,0.99958685,0.0021554273352341505
BA,4,1.8,4,async,1.0,0.9989712000000001,0.010287999999999993
BA,4,2.0,1,K,0.05,0.6540511999999999,0.14690157439646997
BA,4,2.0,1,K,0.2,0.6485919,0.15425854449228663
BA,4,2.0,1,N,250.0,0.5793252,0.3222994352345112
BA,4,2.0,1,N,500.0,0.6706532,0.1990457608056677
BA,4,2.0,1,N,1000.0,0.6552868,0.15012749466471162
BA,4,2.0,1,N,2000.0,0.6694700000000001,0.1481960465093793
BA,4,2.0,1,async,1.0,0.725035,0.18291246250708024
BA,4,2.0,4,K,0.05,0.9977012,0.016177738806424355
BA,4,2.0,4,K,0.2,0.9986517,0.013483000000000028
BA,4,2.0,4,N,250.0,0.9543312,0.17092860770473386
BA,4,2.0,4,N,500.0,0.9916316000000001,0.058893329366565654
BA,4,2.0,4,N,1000.0,0.9988795,0.011205000000000008
BA,4,2.0,4,N,2000.0,0.9988402999999999,0.008579574693963114
BA,4,2.0,4,async,1.0,0.9979023000000001,0.014760384589922551
BA,16,1.5,1,K,0.05,0.1435012,0.13523866874454946
BA,16,1.5,1,K,0.2,0.1685703,0.15692268871403658
BA,16,1.5,1,N,250.0,0.01,0.1
BA,16,1.5,1,N,500.0,0.0404614,0.12257306076909001
BA,16,1.5,1,N,1000.0,0.17053909999999997,0.11652611961147197
BA,16,1.5,1,N,2000.0,0.25953355,0.183788623841859
BA,16,1.5,1,async,1.0,0.1846866,0.16434672583709642
BA,16,1.5,4,K,0.05,0.6065404,0.4319040424289926
BA,16,1.5,4,K,0.2,0.6110848,0.43183595693969284
BA,16,1.5,4,N,250.0,0.35,0.4793724854411022
BA,16,1.5,4,N,500.0,0.48196960000000005,0.4924998899121448
BA,16,1.5,4,N,1000.0,0.6144681,0.4374600456554157
BA,16,1.5,4,N,2000.0,0.7175195999999999,0.37945482612164794
BA,16,1.5,4,async,1.0,0.5979689,0.4299829215962354
BA,16,1.7,1,K,0.05,0.0280222,0.035779732160749186
BA,16,1.7,1,K,0.2,0.0331964,0.05034939114755305
BA,16,1.7,1,N,250.0,0.01,0.1
BA,16,1.7,1,N,500.0,0.001662799999999999,0.012391877437428207
BA,16,1.7,1,N,1000.0,0.031789500000000005,0.04460611532054657
BA,16,1.7,1,N,2000.0,0.0986428,0.04877264293793719
BA,16,1.7,1,async,1.0,0.052591800000000015,0.05528750770145444
BA,16,1.7,4,K,0.05,0.41532179999999996,0.4809531319705516
BA,16,1.7,4,K,0.2,0.4460673,0.4844479315609124
BA,16,1.7,4,N,250.0,0.25,0.4351941398892446
BA,16,1.7,4,N,500.0,0.3828042,0.4858915332699202
BA,16,1.7,4,N,1000.0,0.41604740000000007,0.48035299980057805
BA,16,1.7,4,N,2000.0,0.50726405,0.4485632962540634
BA,16,1.7,4,async,1.0,0.45217690000000005,0.4794690672819174
ER,4,1.4,1,K,0.05,0.25801712538226296,0.02246360001818501
ER,4,1.4,1,K,0.2,0.11623425076452598,0.06603655955205032
ER,4,1.4,1,N,250.0,0.038079166666666664,0.10900508071348054
ER,4,1.4,1,N,500.0,0.07580243902439025,0.0715646572682296
ER,4,1.4,1,N,1000.0,0.2220120285423038,0.02625496682631206
ER,4,1.4,1,N,2000.0,0.2099703873598369,0.01802591557705415
ER,4,1.4,1,async,1.0,0.3021958205912334,0.020626262095488828
ER,4,1.4,4,K,0.05,1.0,0.0
ER,4,1.4,4,K,0.2,1.0,0.0
ER,4,1.4,4,N,250.0,0.94,0.23868325657594203
ER,4,1.4,4,N,500.0,0.9903298780487805,0.09670121951219514
ER,4,1.4,4,N,1000.0,1.0,0.0
ER,4,1.4,4,N,2000.0,0.999970489296636,0.0002951070336391747
ER,4,1.4,4,async,1.0,1.0,0.0
ER,4,1.6,1,K,0.05,0.025146992864424057,0.012666526299711772
ER,4,1.6,1,K,0.2,0.0,0.0
ER,4,1.6,1,N,250.0,0.0038870833333333327,0.0108572374434383
ER,4,1.6,1,N,500.0,0.000709146341463415,0.003545943739231915
ER,4,1.6,1,N,1000.0,0.008217023445463816,0.011335311057356206
ER,4,1.6,1,N,2000.0,0.0013921508664627934,0.0026793905280021895
ER,4,1.6,1,async,1.0,0.012220387359836903,0.013676061220366777
ER,4,1.6,4,K,0.05,1.0,0.0
ER,4,1.6,4,K,0.2,1.0,0.0
ER,4,1.6,4,N,250.0,0.9101833333333335,0.2858664608125766
ER,4,1.6,4,N,500.0,0.99,0.1
ER,4,1.6,4,N,1000.0,1.0,0.0
ER,4,1.6,4,N,2000.0,0.9999083588175333,0.0005383289930945227
ER,4,1.6,4,async,1.0,1.0,0.0
ER,16,1.1,1,K,0.05,0.3628474,0.025836821919676792
ER,16,1.1,1,K,0.2,0.2632132,0.025016136928556375
ER,16,1.1,1,N,250.0,0.0,0.0
ER,16,1.1,1,N,500.0,0.19026020000000007,0.12404377065513379
ER,16,1.1,1,N,1000.0,0.32658019999999993,0.028446817861128904
ER,16,1.1,1,N,2000.0,0.33751415,0.02033228796437236
ER,16,1.1,1,async,1.0,0.41114870000000003,0.016185892576405826
ER,16,1.1,4,K,0.05,0.9848905000000001,0.09001648960472507
ER,16,1.1,4,K,0.2,0.9972926999999998,0.005651482303991062
ER,16,1.1,4,N,250.0,0.51,0.5024183937956914
ER,16,1.1,4,N,500.0,0.8623576000000002,0.30894163244996375
ER,16,1.1,4,N,1000.0,0.9916578,0.06694798370663484
ER,16,1.1,4,N,2000.0,0.99982405,0.0011895151577874386
ER,16,1.1,4,async,1.0,0.9960622999999998,0.006419476024906205
ER,16,1.2,1,K,0.05,0.11270019999999999,0.03758764900250285
ER,16,1.2,1,K,0.2,0.078576,0.03832223283282082
ER,16,1.2,1,N,250.0,0.0,0.0
ER,16,1.2,1,N,500.0,0.0012431999999999999,0.012431999999999999
ER,16,1.2,1,N,1000.0,0.10457780000000003,0.03518548583283922
ER,16,1.2,1,N,2000.0,0.12402015000000001,0.007985618969798653
ER,16,1.2,1,async,1.0,0.15014099999999997,0.008851834883688283
ER,16,1.2,4,K,0.05,0.9178607,0.25632048395605184
ER,16,1.2,4,K,0.2,0.9139955999999999,0.2688531416750142
ER,16,1.2,4,N,250.0,0.22,0.4163331998932266
ER,16,1.2,4,N,500.0,0.6708838,0.46996871295558734
ER,16,1.2,4,N,1000.0,0.9264798999999999,0.24427752210766468
ER,16,1.2,4,N,2000.0,0.9996758,0.001610546478558084
ER,16,1.2,4,async,1.0,0.9960928999999998,0.006349489487949206
