topology,L,b,theta,rho_mean,rho_std
BA_z4,1,1.1,0.8,0.9970646,0.010065840032060087
BA_z4,1,1.9,0.2,0.9698895999999999,0.03938372485570918
BA_z4,1,1.4,0.5,0.9810929999999999,0.023802883228718465
BA_z4,1,1.6,0.3,0.9560895999999999,0.03559323232851751
BA_z4,4,1.1,0.8,0.9970646,0.010065840032060087
BA_z4,4,1.9,0.2,0.9792067999999999,0.03259242540273214
BA_z4,4,1.4,0.5,0.9811344,0.02405483889204947
BA_z4,4,1.6,0.3,0.934944,0.038793528336776885
BA_z16,1,1.1,0.8,0.9657496000000001,0.1377887730084845
BA_z16,1,1.9,0.2,0.003265,0.01178891389468625
BA_z16,1,1.4,0.5,0.6386766,0.4139979087919678
BA_z16,1,1.6,0.3,0.052455999999999996,0.05182090103108464
BA_z16,4,1.1,0.8,0.9657496000000001,0.1377887730084845
BA_z16,4,1.9,0.2,0.0036222,0.013478583055487452
BA_z16,4,1.4,0.5,0.6494076,0.40841031249627635
BA_z16,4,1.6,0.3,0.05659999999999999,0.05613815341982452
ER_z4,1,1.1,0.8,0.9986239019407559,0.004933299944477742
ER_z4,1,1.9,0.2,0.0,0.0
ER_z4,1,1.4,0.5,0.15387517875383042,0.06112452669872797
ER_z4,1,1.6,0.3,0.002047803881511747,0.005426270533824177
ER_z4,4,1.1,0.8,0.9986710929519917,0.004818695954210802
ER_z4,4,1.9,0.2,0.0,0.0
ER_z4,4,1.4,0.5,0.1491278855975485,0.07005128429181617
ER_z4,4,1.6,0.3,0.0010537282941777324,0.0034021904526642674
ER_z16,1,1.1,0.8,0.3152604,0.03139712439451895
ER_z16,1,1.9,0.2,0.0,0.0
ER_z16,1,1.4,0.5,0.0,0.0
ER_z16,1,1.6,0.3,0.0,0.0
ER_z16,4,1.1,0.8,0.3108342,0.031488725296135896
ER_z16,4,1.9,0.2,0.0,0.0
ER_z16,4,1.4,0.5,0.0,0.0
ER_z16,4,1.6,0.3,0.0,0.0
