topology,b,theta,L,rho_mean,frac_of_total_gain,frac_of_headroom
BA_z4,2.0,0.4,1,0.6220392,0.0,0.0
BA_z4,2.0,0.4,2,0.8115267999999999,0.5151717822901982,0.5013419381057503
BA_z4,2.0,0.4,3,0.9760487,0.9624677554766752,0.9366302008038929
BA_z4,2.0,0.4,4,0.9898536,1.0,0.9731548880201333
BA_z16,1.8,0.0,1,0.0637943,0.0,0.0
BA_z16,1.8,0.0,2,0.4677163,0.645030858071078,0.4314457816268369
BA_z16,1.8,0.0,3,0.7062431000000001,1.0259389207092815,0.6862261146241687
BA_z16,1.8,0.0,4,0.69,1.0,0.6688761882137654
ER_z4,1.6,0.3,1,0.0024093973442288,0.0,0.0
ER_z4,1.6,0.3,2,0.9297332992849846,0.9296628729544169,0.9295635899857593
ER_z4,1.6,0.3,3,0.999834627170582,0.9999410160537712,0.9998342277593858
ER_z4,1.6,0.3,4,0.999893462717058,1.0,0.999893205406448
ER_z16,1.2,0.2,1,0.1032326,0.0,0.0
ER_z16,1.2,0.2,2,0.9444158,0.961042827697643,0.9380171491514968
ER_z16,1.2,0.2,3,0.9780321999999998,0.999449205895656,0.9755033467987348
ER_z16,1.2,0.2,4,0.9785143,1.0,0.9760409443965068
