topo,theta,b,r,L,omega,rho_mean,rho_std,seconds
ER_z4,0.2,1.3,0.0,2,1.0,1.0,0.0,3.0867538452148438
ER_z4,0.2,1.3,0.0,4,1.0,1.0,0.0,9.931689977645874
ER_z4,0.2,1.3,0.1,2,0.8996452103395844,1.0,0.0,2.9513683319091797
ER_z4,0.2,1.3,0.1,4,0.8996452103395844,1.0,0.0,9.922083139419556
ER_z4,0.2,1.3,0.2,2,0.799797263051191,1.0,0.0,2.94472599029541
ER_z4,0.2,1.3,0.2,4,0.799797263051191,1.0,0.0,9.800384998321533
ER_z4,0.2,1.3,0.3,2,0.6999493157627977,1.0,0.0,2.939131021499634
ER_z4,0.2,1.3,0.3,4,0.6999493157627977,1.0,0.0,9.790971755981445
ER_z4,0.2,1.3,0.4,2,0.6001013684744044,1.0,0.0,2.941331148147583
ER_z4,0.2,1.3,0.4,4,0.6001013684744044,1.0,0.0,9.78130316734314
ER_z4,0.2,1.3,0.5,2,0.4997465788139889,1.0,0.0,2.9229538440704346
ER_z4,0.2,1.3,0.5,4,0.4997465788139889,1.0,0.0,9.843195915222168
ER_z4,0.2,1.3,0.6,2,0.39939178915357326,1.0,0.0,2.937364101409912
ER_z4,0.2,1.3,0.6,4,0.39939178915357326,1.0,0.0,9.824989080429077
ER_z4,0.2,1.3,0.7,2,0.3000506842372022,1.0,0.0,2.927502155303955
ER_z4,0.2,1.3,0.7,4,0.3000506842372022,1.0,0.0,9.741183996200562
ER_z4,0.2,1.3,0.8,2,0.19969589457678663,1.0,0.0,2.9302847385406494
ER_z4,0.2,1.3,0.8,4,0.19969589457678663,1.0,0.0,9.81405520439148
ER_z4,0.2,1.3,0.9,2,0.09984794728839332,0.9941645259938838,0.058354740061162085,2.9791512489318848
ER_z4,0.2,1.3,0.9,4,0.09984794728839332,1.0,0.0,9.815938234329224
ER_z4,0.2,1.3,1.0,2,0.0005068423720223011,0.9655754332313964,0.13713384922795807,3.001307725906372
ER_z4,0.2,1.3,1.0,4,0.0005068423720223011,0.9937495412844036,0.06250458715596331,9.963817358016968
ER_z4,0.2,1.5,0.0,2,1.0,1.0,0.0,2.9422531127929688
ER_z4,0.2,1.5,0.0,4,1.0,1.0,0.0,9.80878496170044
ER_z4,0.2,1.5,0.1,2,0.8996452103395844,1.0,0.0,2.929874897003174
ER_z4,0.2,1.5,0.1,4,0.8996452103395844,1.0,0.0,9.786147832870483
ER_z4,0.2,1.5,0.2,2,0.7992904206791688,1.0,0.0,2.9612972736358643
ER_z4,0.2,1.5,0.2,4,0.7992904206791688,1.0,0.0,9.896973133087158
ER_z4,0.2,1.5,0.3,2,0.6994424733907755,1.0,0.0,2.966364860534668
ER_z4,0.2,1.5,0.3,4,0.6994424733907755,1.0,0.0,9.956241846084595
ER_z4,0.2,1.5,0.4,2,0.5995945261023822,1.0,0.0,2.949028968811035
ER_z4,0.2,1.5,0.4,4,0.5995945261023822,1.0,0.0,9.78890872001648
ER_z4,0.2,1.5,0.5,2,0.49923973644196656,0.9417652395514782,0.23174168738307757,2.9993977546691895
ER_z4,0.2,1.5,0.5,4,0.49923973644196656,0.9900596330275229,0.09940366972477065,9.848865032196045
ER_z4,0.2,1.5,0.6,2,0.3998986315255955,0.8940234454638126,0.3031436780012693,3.003180980682373
ER_z4,0.2,1.5,0.6,4,0.3998986315255955,1.0,0.0,9.879972219467163
ER_z4,0.2,1.5,0.7,2,0.2995438418651799,0.5722975535168195,0.4852635757114363,3.2604358196258545
ER_z4,0.2,1.5,0.7,4,0.2995438418651799,0.9034254841997962,0.2912939984922402,9.957134008407593
ER_z4,0.2,1.5,0.8,2,0.19969589457678663,0.2951309887869521,0.4313931902716713,3.4129419326782227
ER_z4,0.2,1.5,0.8,4,0.19969589457678663,0.8642260958205913,0.338291585275829,9.958348989486694
ER_z4,0.2,1.5,0.9,2,0.099341104916371,0.10791121304791028,0.2656370604583971,3.619845151901245
ER_z4,0.2,1.5,0.9,4,0.099341104916371,0.5854570846075433,0.48004506379034084,10.539765119552612
ER_z4,0.2,1.5,1.0,2,0.0005068423720223011,0.039247196738022426,0.10052364184746815,3.4429752826690674
ER_z4,0.2,1.5,1.0,4,0.0005068423720223011,0.5833788990825688,0.48245754598614,10.63931393623352
ER_z4,0.2,1.7,0.0,2,1.0,0.999775637104995,0.0008331039431757813,2.952955961227417
ER_z4,0.2,1.7,0.0,4,1.0,1.0,0.0,9.882376909255981
ER_z4,0.2,1.7,0.1,2,0.8996452103395844,0.970776758409786,0.16699245772425728,2.9627320766448975
ER_z4,0.2,1.7,0.1,4,0.8996452103395844,1.0,0.0,9.91624402999878
ER_z4,0.2,1.7,0.2,2,0.7992904206791688,0.9211779816513761,0.2686739187405149,3.0407841205596924
ER_z4,0.2,1.7,0.2,4,0.7992904206791688,1.0,0.0,9.950942993164062
ER_z4,0.2,1.7,0.3,2,0.6994424733907755,0.5584785932721713,0.49022751414442417,3.36784291267395
ER_z4,0.2,1.7,0.3,4,0.6994424733907755,0.9706980632008154,0.16749532714249518,9.93303108215332
ER_z4,0.2,1.7,0.4,2,0.6001013684744044,0.11922273190621814,0.3116142715099343,3.3363609313964844
ER_z4,0.2,1.7,0.4,4,0.6001013684744044,0.7914051987767584,0.4066523882612804,10.206218957901001
ER_z4,0.2,1.7,0.5,2,0.4997465788139889,0.004998980632008155,0.016339121650286868,3.334995985031128
