L,b,r_at_rho0p9,r_at_rho0p1,width,max_std,r_at_max_std
2,1.3,,,,0.137133849227958,1.0
2,1.5,0.5874815040984572,0.9115216287556004,0.32404012465714316,0.4852635757114363,0.7
2,1.7,0.2058389901747599,0.4168290147117225,0.2109900245369626,0.4902275141444241,0.3
2,1.9,,0.13190602543149169,,0.4375724272286553,0.0
2,2.0,,,,0.2858676366951622,0.0
4,1.3,,,,0.0625045871559633,1.0
4,1.5,0.708738616446407,,,0.48245754598614,1.0
4,1.7,0.3394316100799209,0.6900237594653265,0.35059214938540556,0.4987811182521186,0.5
4,1.9,0.10908462177632516,0.3604273114839115,0.25134268970758633,0.5015517352928687,0.2
4,2.0,,0.18321032910875845,,0.4881145827040948,0.1
